date,open,close,high,low,amount
2025-12-01,9.2,9.26,9.33,9.11,115423.0
2025-12-02,9.26,9.31,9.36,9.18,106856.0
2025-12-03,9.31,9.41,9.42,9.27,100930.0
2025-12-04,9.45,9.2,9.45,9.16,88267.0
2025-12-05,9.18,9.23,9.28,9.09,61069.0
2025-12-08,9.2,9.26,9.34,9.15,68311.0
2025-12-09,9.24,9.27,9.34,9.17,59996.0
2025-12-10,9.27,9.43,9.55,9.21,126144.0
2025-12-11,9.41,9.16,9.41,9.09,109385.0
2025-12-12,9.15,9.19,9.4,9.15,112312.0
2025-12-15,9.03,9.54,9.64,8.98,191230.0
2025-12-16,9.58,9.48,9.63,9.43,102018.0
2025-12-17,9.4,9.58,9.59,9.36,98369.0
2025-12-18,9.53,9.56,9.78,9.52,124969.0
2025-12-19,9.55,9.79,9.8,9.53,109012.0
2025-12-22,9.72,9.71,9.94,9.67,126726.0
2025-12-23,9.71,9.61,9.78,9.5,115924.0
2025-12-24,9.48,9.56,9.6,9.43,77943.0
2025-12-25,9.57,9.45,9.7,9.43,70067.0
2025-12-26,9.48,9.27,9.51,9.24,113055.0
2025-12-29,9.28,9.13,9.29,9.11,74640.0
2025-12-30,9.17,9.04,9.21,9.01,84470.0
2025-12-31,9.04,8.9,9.08,8.87,96699.0
2026-01-05,8.95,8.97,9.01,8.88,102494.0
2026-01-06,8.99,9.13,9.15,8.97,103154.0
2026-01-07,9.14,9.05,9.19,9.04,72768.0
2026-01-08,9.1,9.45,9.49,9.06,195907.0
2026-01-09,9.45,9.58,9.75,9.22,163920.0
2026-01-12,9.56,9.53,9.6,9.41,144724.0
2026-01-13,9.55,9.35,9.6,9.33,126804.0
2026-01-14,9.36,9.27,9.45,9.17,126985.0
2026-01-15,9.28,9.25,9.44,9.22,88535.0
2026-01-16,9.2,9.19,9.28,9.12,89913.0
2026-01-19,9.22,9.38,9.54,9.21,144070.0
2026-01-20,9.4,9.62,9.69,9.3,196498.0
2026-01-21,9.7,10.58,10.58,9.55,270983.0
2026-01-22,10.55,10.57,10.77,10.32,393029.0
2026-01-23,10.52,10.25,10.64,10.18,243772.0
2026-01-26,10.2,9.98,10.22,9.9,181766.0
2026-01-27,9.99,9.88,10.01,9.71,144539.0
2026-01-28,9.9,9.82,9.98,9.76,155747.0
2026-01-29,9.72,9.84,9.94,9.69,136837.0
2026-01-30,9.76,9.98,10.11,9.76,192943.0
2026-02-02,9.42,9.17,9.68,9.11,278688.0
2026-02-03,9.17,9.26,9.29,9.09,135146.0
2026-02-04,9.24,9.43,9.48,9.22,99815.0
2026-02-05,9.43,9.44,9.6,9.33,81387.0
2026-02-06,9.4,9.83,10.0,9.35,202955.0
2026-02-09,9.85,9.66,9.89,9.61,147043.0
2026-02-10,9.74,9.6,9.74,9.55,91060.0
2026-02-11,9.58,9.64,9.73,9.53,69370.0
2026-02-12,9.64,9.39,9.64,9.39,89672.0
2026-02-13,9.43,9.38,9.62,9.35,69508.0
2026-02-24,9.49,9.7,9.94,9.47,130255.0
2026-02-25,9.66,9.76,9.83,9.65,94375.0
2026-02-26,9.77,9.52,9.79,9.42,101370.0
2026-02-27,9.46,9.48,9.5,9.35,62946.0
2026-03-02,9.3,9.2,9.38,9.06,132873.0
2026-03-03,9.18,8.9,9.31,8.87,95510.0
2026-03-04,8.87,8.81,8.96,8.71,88771.0
2026-03-05,8.93,8.96,9.03,8.87,59495.0
2026-03-06,9.0,9.17,9.19,8.96,59259.0
2026-03-09,8.9,8.86,8.98,8.78,122963.0
2026-03-10,8.97,9.11,9.13,8.96,72022.0
2026-03-11,9.12,9.13,9.16,9.0,59731.0
2026-03-12,9.13,9.09,9.19,9.05,79704.0
2026-03-13,9.09,9.09,9.2,9.0,53724.0
2026-03-16,9.14,9.14,9.26,9.06,49509.0
2026-03-17,9.18,9.01,9.24,9.01,42646.0
2026-03-18,9.0,8.96,9.1,8.88,39528.0
2026-03-19,8.88,8.44,8.97,8.31,137211.0
2026-03-20,8.44,8.3,8.51,8.3,72257.0
2026-03-23,8.12,7.76,8.18,7.67,107850.0
2026-03-24,7.96,8.07,8.09,7.77,75938.0
2026-03-25,8.09,8.26,8.27,8.01,55851.0
2026-03-26,8.28,8.18,8.38,8.13,42261.0
2026-03-27,8.09,8.35,8.36,8.05,47012.0
2026-03-30,8.19,8.06,8.36,7.95,125690.0
2026-03-31,8.05,8.17,8.34,8.03,111584.0
2026-04-01,8.29,8.24,8.31,8.08,52622.0
2026-04-02,8.27,8.04,8.27,8.0,46357.0
2026-04-03,8.03,7.82,8.07,7.78,43864.0
2026-04-07,7.81,7.89,7.9,7.72,36307.0
2026-04-08,8.08,8.19,8.19,8.02,55122.0
2026-04-09,8.19,7.99,8.19,7.98,38287.0
2026-04-10,8.02,8.16,8.27,7.98,53308.0
2026-04-13,8.12,8.06,8.21,7.99,55576.0
2026-04-14,8.17,8.07,8.17,7.97,40188.0
2026-04-15,8.07,8.0,8.1,7.97,36250.0
2026-04-16,8.0,8.06,8.08,7.97,31137.0
2026-04-17,8.05,7.8,8.05,7.76,81089.0
2026-04-20,7.81,7.98,8.09,7.74,78518.0
2026-04-21,7.92,7.92,7.99,7.87,41890.0
2026-04-22,7.9,7.8,7.91,7.77,53257.0
2026-04-23,7.84,7.73,7.85,7.73,57854.0
2026-04-24,7.71,7.71,7.76,7.62,53974.0
2026-04-27,7.65,7.94,7.94,7.59,66237.0
2026-04-28,7.89,7.75,7.9,7.7,49249.0
2026-04-29,6.98,6.98,6.98,6.98,65101.0
2026-04-30,6.8,6.42,6.98,6.33,427143.0
2026-05-06,6.47,6.24,6.49,6.16,246573.0
2026-05-07,6.27,6.14,6.3,6.12,203975.0
2026-05-08,6.15,6.32,6.39,6.14,175765.0
2026-05-11,6.41,6.29,6.43,6.15,141801.0
2026-05-12,6.26,6.04,6.27,6.01,160779.0
2026-05-13,6.05,6.06,6.15,6.03,104047.0
2026-05-14,6.08,6.0,6.15,5.9,133480.0
2026-05-15,5.96,5.9,5.99,5.86,112213.0
2026-05-18,5.87,5.89,5.89,5.74,98707.0
2026-05-19,5.89,6.08,6.12,5.84,155363.0
2026-05-20,6.09,5.91,6.09,5.87,87911.0
2026-05-21,5.91,5.73,5.97,5.72,81076.0
2026-05-22,5.76,5.83,5.99,5.65,116849.0
2026-05-25,5.84,5.77,5.92,5.74,76845.0
2026-05-26,5.78,5.76,5.82,5.69,57644.0
2026-05-27,5.74,5.6,5.75,5.57,85131.0
2026-05-28,5.55,5.63,5.68,5.53,70577.0
2026-05-29,5.64,5.7,5.93,5.61,152043.0
2026-06-01,5.71,5.78,5.83,5.62,107994.0
2026-06-02,5.8,5.63,5.81,5.58,92373.0
