date,open,close,high,low,amount
2025-12-01,18.25,17.93,18.35,17.78,216476.0
2025-12-02,17.8,18.86,19.72,17.8,558750.0
2025-12-03,18.82,18.34,19.28,18.32,370051.0
2025-12-04,18.34,18.96,20.17,18.34,455276.0
2025-12-05,18.88,18.39,19.36,18.14,363857.0
2025-12-08,18.22,18.8,19.11,18.0,329234.0
2025-12-09,18.55,18.96,19.41,18.51,294188.0
2025-12-10,18.71,19.72,19.75,18.62,373374.0
2025-12-11,19.5,18.94,19.55,18.75,247634.0
2025-12-12,18.77,18.13,18.78,17.96,224718.0
2025-12-15,18.0,17.19,18.01,17.17,190986.0
2025-12-16,16.83,16.2,17.07,16.08,171175.0
2025-12-17,16.1,16.52,16.53,16.1,111735.0
2025-12-18,16.38,16.55,16.84,16.21,111256.0
2025-12-19,16.68,16.65,16.84,16.36,101908.0
2025-12-22,16.58,16.43,16.6,16.4,81535.0
2025-12-23,16.32,16.25,16.53,16.19,75654.0
2025-12-24,16.11,16.29,16.3,16.09,58600.0
2025-12-25,16.35,16.22,16.42,16.17,73112.0
2025-12-26,16.25,16.2,16.28,16.1,80236.0
2025-12-29,16.08,15.88,16.18,15.86,110127.0
2025-12-30,16.05,16.42,16.43,16.05,152277.0
2025-12-31,16.52,16.99,17.25,16.3,246736.0
2026-01-05,17.1,18.69,18.69,17.1,468847.0
2026-01-06,18.75,20.56,20.56,18.68,507849.0
2026-01-07,20.66,22.62,22.62,20.62,224739.0
2026-01-08,22.62,23.57,24.88,20.62,872474.0
2026-01-09,24.04,25.93,25.93,24.04,185803.0
2026-01-12,28.52,28.52,28.52,28.52,16271.0
2026-01-13,31.37,31.37,31.37,30.88,259505.0
2026-01-14,30.22,32.4,34.48,30.22,944991.0
2026-01-15,29.5,31.51,31.9,29.5,613463.0
2026-01-16,28.36,28.36,29.66,28.36,83005.0
2026-01-19,25.52,25.52,25.86,25.52,169680.0
2026-01-20,25.52,24.08,26.05,23.75,516619.0
2026-01-21,24.33,25.24,26.48,24.08,481400.0
2026-01-22,25.67,26.0,26.44,24.61,386474.0
2026-01-23,26.5,26.77,27.94,25.6,468480.0
2026-01-26,27.3,26.37,27.85,25.65,410276.0
2026-01-27,26.78,25.86,27.2,25.2,437949.0
2026-01-28,26.0,25.3,27.41,25.28,431866.0
2026-01-29,24.96,26.7,27.83,24.51,606409.0
2026-01-30,26.7,29.37,29.37,26.11,707743.0
2026-02-02,30.37,29.0,31.4,28.28,875078.0
2026-02-03,29.98,30.0,30.38,28.35,641217.0
2026-02-04,28.72,27.0,28.85,27.0,384412.0
2026-02-05,24.78,25.61,26.8,24.78,399363.0
2026-02-06,25.08,25.86,26.4,23.88,343014.0
2026-02-09,27.05,28.45,28.45,26.02,457321.0
2026-02-10,30.0,31.3,31.3,28.89,733948.0
2026-02-11,31.35,29.29,31.6,28.22,692170.0
2026-02-12,29.29,29.3,30.38,27.95,546974.0
2026-02-13,29.2,27.61,30.08,27.58,420758.0
2026-02-24,27.52,25.25,27.6,24.98,377957.0
2026-02-25,25.75,25.35,25.8,24.9,253839.0
2026-02-26,25.05,24.38,25.1,24.31,250421.0
2026-02-27,24.3,24.41,24.79,24.02,196462.0
2026-03-02,23.18,22.88,23.65,22.62,243047.0
2026-03-03,22.84,21.53,23.15,21.45,217235.0
2026-03-04,21.48,21.42,21.9,21.25,124166.0
2026-03-05,21.85,21.54,21.97,21.47,128492.0
2026-03-06,21.47,21.25,21.69,21.2,119729.0
2026-03-09,20.8,21.38,21.41,20.57,143681.0
2026-03-10,21.6,21.31,21.9,21.2,133905.0
2026-03-11,21.58,20.7,21.6,20.63,157913.0
2026-03-12,20.53,20.18,20.73,20.06,135954.0
2026-03-13,20.1,19.66,20.18,19.6,107106.0
2026-03-16,19.69,20.65,20.7,19.6,207002.0
2026-03-17,20.53,20.06,20.72,20.05,145196.0
2026-03-18,20.35,20.65,20.65,20.01,108620.0
2026-03-19,20.2,20.14,20.38,20.05,91411.0
2026-03-20,20.3,19.38,20.39,19.38,104931.0
2026-03-23,18.8,18.43,19.23,18.22,125332.0
2026-03-24,18.65,18.98,19.0,18.46,103873.0
2026-03-25,19.11,19.56,19.66,18.95,92318.0
2026-03-26,19.61,19.22,19.75,19.11,87908.0
2026-03-27,19.06,19.49,19.69,18.99,90630.0
2026-03-30,19.25,19.74,19.75,19.18,77941.0
2026-03-31,19.66,19.81,20.28,19.6,127594.0
2026-04-01,20.1,20.06,20.21,19.63,120004.0
2026-04-02,19.76,19.32,20.0,19.2,104892.0
2026-04-03,19.42,18.8,19.48,18.68,73974.0
2026-04-07,18.79,19.32,19.56,18.75,100925.0
2026-04-08,19.71,21.25,21.25,19.7,221659.0
2026-04-09,21.0,20.79,21.5,20.6,300273.0
2026-04-10,20.83,20.69,21.16,20.68,193383.0
2026-04-13,20.35,21.08,21.24,20.3,204223.0
2026-04-14,21.38,21.35,22.09,21.08,304939.0
2026-04-15,21.3,20.82,21.54,20.75,191450.0
2026-04-16,20.97,21.31,21.44,20.95,180739.0
2026-04-17,21.03,21.23,21.32,20.84,124489.0
2026-04-20,21.28,22.03,22.75,21.02,319442.0
2026-04-21,21.92,21.63,22.25,21.4,167553.0
2026-04-22,21.33,21.24,21.39,20.92,145510.0
2026-04-23,21.19,21.19,21.68,20.97,149319.0
2026-04-24,20.75,20.65,20.94,20.16,156309.0
2026-04-27,20.77,20.5,20.77,20.18,85639.0
2026-04-28,20.35,19.78,20.4,19.66,96727.0
2026-04-29,19.73,20.37,20.59,19.73,100050.0
2026-04-30,20.73,20.8,20.92,20.45,104945.0
2026-05-06,21.09,21.84,22.03,21.09,180836.0
2026-05-07,21.85,24.02,24.02,21.85,247190.0
2026-05-08,26.41,24.9,26.42,24.75,691508.0
2026-05-11,24.9,25.1,25.99,24.75,591875.0
2026-05-12,25.59,24.52,25.96,24.46,360660.0
2026-05-13,24.49,24.27,24.64,23.95,267286.0
2026-05-14,24.62,23.03,24.74,23.03,229175.0
2026-05-15,22.95,25.33,25.33,22.95,333604.0
2026-05-18,24.6,24.3,25.47,24.1,371707.0
2026-05-19,24.5,24.72,25.44,24.18,342199.0
2026-05-20,24.7,23.7,25.31,23.67,255106.0
2026-05-21,23.48,22.56,24.25,22.24,245001.0
2026-05-22,22.72,22.23,22.74,21.95,157726.0
2026-05-25,22.61,21.66,24.0,21.45,244622.0
2026-05-26,21.3,21.18,21.59,20.75,171819.0
2026-05-27,21.8,20.51,22.25,20.45,202019.0
2026-05-28,20.41,20.7,20.98,20.22,164463.0
2026-05-29,20.88,22.03,22.77,20.88,381390.0
2026-06-01,21.79,24.23,24.23,21.79,421199.0
2026-06-02,24.25,23.0,24.34,22.66,387102.0
