date,open,close,high,low,amount
2025-12-01,103.61,100.84,104.58,100.22,2183574.0
2025-12-02,100.93,99.89,100.98,98.74,1184175.0
2025-12-03,99.98,99.0,100.36,98.7,953721.0
2025-12-04,99.0,101.9,103.44,99.0,2009793.0
2025-12-05,102.09,101.35,102.09,100.06,1313975.0
2025-12-08,101.5,99.15,102.43,98.89,1805493.0
2025-12-09,99.28,99.55,100.29,98.77,1099472.0
2025-12-10,99.28,100.5,100.94,98.51,1367623.0
2025-12-11,100.53,97.47,100.9,97.12,1449808.0
2025-12-12,97.66,100.5,100.96,97.08,2255156.0
2025-12-15,99.23,98.53,101.2,98.53,1153405.0
2025-12-16,98.46,97.0,99.4,96.6,961264.0
2025-12-17,97.0,97.42,98.88,95.6,1855422.0
2025-12-18,98.0,101.56,102.8,98.0,2522365.0
2025-12-19,100.94,106.66,107.2,100.51,3475664.0
2025-12-22,106.41,105.36,107.77,104.0,2279684.0
2025-12-23,104.62,104.18,105.35,103.68,1503707.0
2025-12-24,105.11,102.61,105.11,97.71,5526906.0
2025-12-25,102.9,105.57,107.6,102.9,3627622.0
2025-12-26,105.57,103.0,106.78,101.26,3544891.0
2025-12-29,102.82,103.39,104.75,100.81,2891131.0
2025-12-30,103.0,102.31,104.56,101.51,2145797.0
2025-12-31,103.0,101.11,103.29,100.89,1421613.0
2026-01-05,101.11,107.69,108.49,100.13,4035943.0
2026-01-06,108.0,109.44,110.69,107.29,3501189.0
2026-01-07,110.15,108.3,110.58,107.35,1689559.0
2026-01-08,108.0,109.0,110.18,107.35,2121280.0
2026-01-09,109.1,112.11,112.7,108.09,2583320.0
2026-01-12,112.0,112.06,113.0,110.08,2159906.0
2026-01-13,112.93,112.02,114.6,110.9,3099929.0
2026-01-14,111.24,112.38,116.84,111.1,2708158.0
2026-01-15,111.19,111.42,113.28,110.2,1601206.0
2026-01-16,111.8,116.55,117.96,111.8,3185010.0
2026-01-19,117.34,119.54,121.73,116.18,3270563.0
2026-01-20,119.54,115.46,120.51,113.7,2713049.0
2026-01-21,114.23,116.71,117.34,113.28,1599748.0
2026-01-22,117.29,115.5,120.18,115.03,1464667.0
2026-01-23,116.08,119.79,119.86,115.12,1618251.0
2026-01-26,119.7,115.44,122.0,113.8,3755472.0
2026-01-27,115.78,117.35,118.28,113.0,2105273.0
2026-01-28,113.78,114.0,118.2,113.78,2364471.0
2026-01-29,126.5,119.2,127.44,118.19,5338247.0
2026-01-30,119.0,118.34,121.44,117.05,3543766.0
2026-02-02,118.85,111.34,118.85,111.06,4420321.0
2026-02-03,113.0,119.24,119.49,112.32,4100261.0
2026-02-04,119.64,121.09,121.43,118.09,3259084.0
2026-02-05,120.0,121.6,125.2,120.0,3678389.0
2026-02-06,119.5,122.07,124.9,119.19,2105391.0
2026-02-09,124.29,123.56,124.5,120.04,3077977.0
2026-02-10,124.97,123.89,126.8,123.4,2242324.0
2026-02-11,123.11,124.2,127.77,123.11,2645150.0
2026-02-12,123.83,122.6,125.0,122.22,2534042.0
2026-02-13,122.01,120.52,122.96,120.09,1858199.0
2026-02-24,121.93,121.36,122.6,120.02,1835761.0
2026-02-25,120.9,119.91,121.63,118.1,2774652.0
2026-02-26,119.47,120.89,122.58,118.3,2466874.0
2026-02-27,120.44,121.32,122.87,119.6,1897585.0
2026-03-02,119.91,130.43,131.88,119.5,5581930.0
2026-03-03,130.0,124.79,131.45,124.28,3374034.0
2026-03-04,123.54,122.51,125.99,121.29,2169905.0
2026-03-05,124.8,125.2,129.72,124.8,2521965.0
2026-03-06,126.1,126.57,129.45,123.55,2958144.0
2026-03-09,124.22,120.25,125.0,115.15,4080216.0
2026-03-10,121.5,122.2,124.0,119.9,2719633.0
2026-03-11,122.01,120.63,124.97,120.61,2150381.0
2026-03-12,120.08,118.06,122.45,117.29,2408877.0
2026-03-13,117.05,116.74,118.99,116.0,1782958.0
2026-03-16,117.39,116.08,117.39,113.52,2057699.0
2026-03-17,117.1,114.71,117.95,114.0,1848187.0
2026-03-18,114.23,117.88,118.44,114.01,1645684.0
2026-03-19,116.46,114.01,117.19,112.6,1956113.0
2026-03-20,113.5,113.1,115.99,113.1,1626168.0
2026-03-23,111.9,109.55,114.68,108.14,2359315.0
2026-03-24,110.99,113.95,113.98,108.6,1994635.0
2026-03-25,112.5,110.38,115.19,109.8,2715374.0
2026-03-26,110.38,104.68,110.99,103.5,4785073.0
2026-03-27,105.25,106.02,107.69,104.02,2537010.0
2026-03-30,104.11,103.49,106.22,102.2,3229959.0
2026-03-31,105.9,108.69,110.3,105.1,6781222.0
2026-04-01,111.09,111.5,113.48,109.76,4702323.0
2026-04-02,111.5,108.07,111.5,107.51,2397188.0
2026-04-03,108.68,106.62,108.68,104.88,1831330.0
2026-04-07,105.9,104.5,107.55,103.39,2749326.0
2026-04-08,106.88,109.61,109.85,106.01,3437585.0
2026-04-09,108.47,106.63,108.56,105.3,2230658.0
2026-04-10,106.2,107.0,108.47,105.78,2043676.0
2026-04-13,105.0,104.28,106.91,103.65,2909362.0
