date,open,close,high,low,amount
2026-04-13,43.06,51.67,54.93,42.0,116990.0
2026-04-14,47.0,50.71,52.56,46.02,82953.0
2026-04-15,53.0,51.88,59.8,51.45,80539.0
2026-04-16,50.5,49.1,50.9,48.34,54283.0
2026-04-17,49.5,63.83,63.83,48.2,68415.0
2026-04-20,61.0,62.9,73.52,60.01,72112.0
2026-04-21,59.88,64.82,65.97,58.14,53693.0
2026-04-22,63.98,64.83,67.89,62.5,53889.0
2026-04-23,63.5,60.18,66.13,59.56,46014.0
2026-04-24,60.31,56.5,62.0,56.4,39763.0
2026-04-27,56.76,58.69,60.92,56.02,33936.0
2026-04-28,58.02,54.28,58.82,53.73,31078.0
2026-04-29,54.04,55.66,57.49,53.09,26978.0
2026-04-30,55.16,59.0,60.5,55.15,34942.0
2026-05-06,59.11,64.15,68.99,59.11,57137.0
2026-05-07,65.0,66.76,67.88,62.01,47385.0
2026-05-08,64.08,69.65,69.88,63.0,47767.0
2026-05-11,72.1,70.02,75.0,67.5,60226.0
2026-05-12,70.02,71.38,79.55,68.52,57716.0
2026-05-13,69.79,74.9,76.65,66.0,51256.0
2026-05-14,74.6,75.8,80.93,74.6,52457.0
2026-05-15,78.58,75.66,79.98,73.42,46854.0
2026-05-18,74.03,78.27,78.74,71.6,39448.0
2026-05-19,76.0,70.95,76.0,68.22,42463.0
2026-05-20,68.3,69.5,72.46,68.01,30740.0
2026-05-21,70.5,64.1,71.78,63.5,36602.0
2026-05-22,64.1,67.27,67.88,64.1,22647.0
2026-05-25,67.68,70.15,70.86,65.13,26872.0
2026-05-26,71.22,67.68,72.98,65.52,26518.0
2026-05-27,69.01,84.6,87.98,69.01,65855.0
2026-05-28,81.84,87.81,99.0,79.06,70551.0
2026-05-29,86.0,79.54,87.0,78.5,52790.0
2026-06-01,80.8,75.0,84.88,74.2,37871.0
2026-06-02,73.0,76.9,77.8,71.02,42668.0
