date,open,close,high,low,amount
2025-12-01,20.26,19.75,20.38,19.54,21884.0
2025-12-02,19.74,19.66,20.08,19.55,11480.0
2025-12-03,19.72,19.64,19.99,19.32,13189.0
2025-12-04,19.55,19.37,19.69,19.25,9838.0
2025-12-05,19.56,19.21,19.56,18.85,28945.0
2025-12-08,19.49,19.43,19.5,19.11,18016.0
2025-12-09,19.39,18.88,19.68,18.8,25161.0
2025-12-10,18.88,18.79,19.06,18.69,16218.0
2025-12-11,18.69,18.99,19.52,18.69,28647.0
2025-12-12,18.98,19.04,19.43,18.81,17781.0
2025-12-15,18.82,18.75,19.15,18.61,13227.0
2025-12-16,18.72,18.59,18.84,18.4,12799.0
2025-12-17,18.5,18.71,18.77,18.18,13057.0
2025-12-18,18.62,19.84,20.5,18.62,43336.0
2025-12-19,19.86,19.85,20.15,19.51,22583.0
2025-12-22,19.9,19.62,19.98,19.49,16635.0
2025-12-23,19.57,19.63,20.27,19.48,22798.0
2025-12-24,19.61,19.79,19.9,19.38,16720.0
2025-12-25,19.89,20.19,20.65,19.51,26330.0
2025-12-26,20.36,19.7,20.38,19.65,16661.0
2025-12-29,19.78,19.91,20.28,19.55,16325.0
2025-12-30,19.89,19.49,19.96,19.41,21137.0
2025-12-31,19.49,19.61,19.85,19.32,13800.0
2026-01-05,19.7,20.08,20.55,19.54,25588.0
2026-01-06,20.08,20.69,21.57,20.05,37610.0
2026-01-07,20.7,20.59,20.87,20.43,20486.0
2026-01-08,20.59,20.68,20.86,20.3,17423.0
2026-01-09,20.74,20.68,20.8,20.42,17526.0
2026-01-12,21.11,22.22,23.0,21.11,81875.0
2026-01-13,22.6,24.12,24.97,22.01,101802.0
2026-01-14,23.88,24.51,24.88,23.7,72031.0
2026-01-15,24.7,25.45,26.48,24.7,73022.0
2026-01-16,25.01,24.34,25.84,24.0,110502.0
2026-01-19,24.84,25.4,26.12,23.84,94700.0
2026-01-20,25.41,25.51,26.38,25.1,69854.0
2026-01-21,25.84,25.36,25.84,24.7,49063.0
2026-01-22,25.34,24.45,25.7,24.37,54149.0
2026-01-23,24.88,24.44,25.32,24.2,60093.0
2026-01-26,24.63,23.2,24.7,22.73,51863.0
2026-01-27,23.18,22.34,23.19,22.1,39239.0
2026-01-28,22.26,21.69,22.33,21.37,54367.0
2026-01-29,21.73,21.46,22.99,21.4,59980.0
2026-01-30,21.37,21.22,21.82,21.01,32571.0
2026-02-02,21.09,21.12,21.87,20.9,37241.0
2026-02-03,21.3,21.39,21.64,21.13,27072.0
2026-02-04,21.35,21.71,22.08,21.15,31906.0
2026-02-05,21.78,21.46,21.93,21.43,18023.0
2026-02-06,21.32,21.51,21.73,21.15,18063.0
2026-02-09,21.71,21.6,21.76,21.23,32919.0
2026-02-10,21.57,21.59,21.9,21.47,17999.0
2026-02-11,21.59,21.5,21.74,21.43,23187.0
2026-02-12,21.5,21.56,22.48,21.13,38949.0
2026-02-13,21.67,21.89,22.45,21.58,38503.0
2026-02-24,21.99,21.76,22.09,21.53,23009.0
2026-02-25,21.81,21.82,22.0,21.66,19175.0
2026-02-26,21.85,21.56,21.87,21.36,26798.0
2026-02-27,21.48,22.2,22.65,21.36,37128.0
2026-03-02,21.7,21.55,22.2,21.2,37267.0
2026-03-03,21.49,20.77,22.09,20.72,29221.0
2026-03-04,20.41,20.46,20.97,20.3,20701.0
2026-03-05,20.86,20.58,21.18,20.48,15237.0
2026-03-06,20.58,21.01,21.23,20.45,17575.0
2026-03-09,20.8,20.36,20.97,20.01,30165.0
2026-03-10,20.56,21.03,21.3,20.56,25877.0
2026-03-11,21.25,20.91,21.5,20.84,28660.0
2026-03-12,20.9,20.56,21.01,20.5,22583.0
2026-03-13,20.56,20.67,20.98,20.35,18917.0
2026-03-16,20.83,20.34,20.83,20.15,23437.0
2026-03-17,20.44,19.89,20.59,19.8,18405.0
2026-03-18,20.01,20.4,20.47,19.75,16493.0
2026-03-19,20.46,19.8,20.46,19.76,16599.0
2026-03-20,19.94,19.21,20.12,19.14,19405.0
2026-03-23,18.96,18.18,19.32,18.1,40534.0
2026-03-24,18.67,18.92,18.99,18.05,30165.0
2026-03-25,18.87,18.87,19.21,18.7,26474.0
2026-03-26,18.82,18.2,19.28,18.04,39766.0
2026-03-27,18.0,18.61,18.7,17.92,31086.0
2026-03-30,18.41,18.64,18.73,18.21,21648.0
2026-03-31,18.69,18.36,18.9,18.35,19718.0
2026-04-01,18.79,20.09,20.17,18.79,47103.0
2026-04-02,20.38,20.55,21.21,19.86,64835.0
2026-04-03,20.81,20.79,21.07,19.81,49238.0
2026-04-07,20.81,21.46,21.5,20.6,52014.0
2026-04-08,21.68,22.59,22.6,21.52,43677.0
2026-04-09,22.37,23.12,23.25,22.14,48047.0
2026-04-10,23.1,25.88,26.74,23.09,131298.0
2026-04-13,25.67,30.28,30.96,25.42,176975.0
2026-04-14,30.33,29.94,30.6,27.5,151662.0
2026-04-15,30.38,33.0,33.1,29.5,118121.0
2026-04-16,32.7,33.8,34.3,31.75,101622.0
2026-04-17,34.48,34.94,35.88,34.0,112468.0
2026-04-20,34.25,31.25,34.6,30.08,170035.0
