date,open,close,high,low,amount
2025-12-01,10.2,9.75,10.28,9.72,317773.0
2025-12-02,9.73,9.86,10.13,9.7,221134.0
2025-12-03,9.81,9.69,9.85,9.62,143707.0
2025-12-04,9.63,9.52,9.67,9.48,97455.0
2025-12-05,9.52,9.62,9.64,9.45,76250.0
2025-12-08,9.61,9.65,9.72,9.6,106955.0
2025-12-09,9.65,9.66,9.73,9.48,150691.0
2025-12-10,9.73,9.82,10.02,9.72,233777.0
2025-12-11,9.88,9.55,9.9,9.54,159105.0
2025-12-12,9.49,9.4,9.55,9.34,112081.0
2025-12-15,9.39,9.56,9.65,9.35,125807.0
2025-12-16,9.48,9.74,9.86,9.48,205225.0
2025-12-17,9.76,9.69,9.87,9.59,184337.0
2025-12-18,9.61,9.96,10.09,9.61,291896.0
2025-12-19,9.94,10.47,10.68,9.83,558322.0
2025-12-22,10.34,10.36,10.54,10.27,291105.0
2025-12-23,10.4,10.27,10.45,10.06,272384.0
2025-12-24,10.2,10.15,10.27,10.11,183825.0
2025-12-25,10.17,10.22,10.3,10.11,191412.0
2025-12-26,10.16,10.18,10.44,10.15,194514.0
2025-12-29,10.2,9.95,10.24,9.95,172490.0
2025-12-30,9.92,9.85,10.14,9.79,205893.0
2025-12-31,9.88,10.02,10.26,9.82,219288.0
2026-01-05,9.98,9.9,10.02,9.79,208086.0
2026-01-06,9.88,10.02,10.03,9.84,192514.0
2026-01-07,10.0,10.28,10.3,9.96,279523.0
2026-01-08,10.16,10.2,10.25,10.1,191157.0
2026-01-09,10.16,11.0,11.21,10.13,623204.0
2026-01-12,10.89,11.01,11.08,10.56,701470.0
2026-01-13,10.91,10.75,11.29,10.74,428103.0
2026-01-14,10.7,10.62,10.93,10.5,367430.0
2026-01-15,10.61,10.62,10.94,10.56,203858.0
2026-01-16,10.61,10.4,10.72,10.38,184899.0
2026-01-19,10.43,10.9,10.91,10.4,299220.0
2026-01-20,10.86,10.75,10.89,10.7,187586.0
2026-01-21,10.7,10.65,10.8,10.53,148046.0
2026-01-22,10.7,10.71,10.92,10.67,209246.0
2026-01-23,10.72,10.73,10.84,10.65,166836.0
2026-01-26,10.64,10.25,10.7,10.1,310277.0
2026-01-27,10.25,10.23,10.31,10.11,136767.0
2026-01-28,10.26,10.42,10.49,10.2,155168.0
2026-01-29,10.38,10.5,10.86,10.36,300412.0
2026-01-30,10.5,10.49,10.6,10.29,179324.0
2026-02-02,10.41,10.0,10.52,9.96,188291.0
2026-02-03,10.1,10.17,10.21,10.03,112242.0
2026-02-04,10.18,10.21,10.23,10.06,124885.0
2026-02-05,10.15,10.27,10.34,10.1,141106.0
2026-02-06,10.27,10.04,10.27,10.0,171948.0
2026-02-09,10.08,10.12,10.13,10.0,119669.0
2026-02-10,10.11,9.89,10.11,9.87,171094.0
2026-02-11,9.65,9.69,9.82,9.59,158702.0
2026-02-12,9.69,9.53,9.7,9.51,122094.0
2026-02-13,9.59,9.43,9.6,9.43,95925.0
2026-02-24,9.48,9.52,9.53,9.43,78259.0
2026-02-25,9.54,9.65,9.66,9.5,88944.0
2026-02-26,9.65,9.61,9.67,9.56,76255.0
2026-02-27,9.56,9.62,9.63,9.55,52379.0
2026-03-02,9.51,9.28,9.51,9.26,132168.0
2026-03-03,9.26,9.06,9.32,9.03,128707.0
2026-03-04,9.0,8.88,9.08,8.82,99555.0
2026-03-05,9.01,9.0,9.12,8.94,72132.0
2026-03-06,9.0,9.04,9.08,8.95,70058.0
2026-03-09,8.85,8.92,8.99,8.81,89003.0
2026-03-10,8.96,9.03,9.07,8.95,74202.0
2026-03-11,9.03,9.0,9.05,8.95,59603.0
2026-03-12,9.0,8.96,9.04,8.91,70740.0
2026-03-13,8.92,8.89,8.99,8.88,70607.0
2026-03-16,8.89,8.92,8.96,8.84,66190.0
2026-03-17,8.96,8.81,9.0,8.81,71050.0
2026-03-18,8.79,8.82,8.83,8.67,64964.0
2026-03-19,8.76,8.61,8.79,8.6,67111.0
