date,open,close,high,low,amount
2025-12-01,53.65,55.88,56.5,52.75,16207.0
2025-12-02,55.31,56.71,57.97,54.3,18735.0
2025-12-03,56.19,56.55,58.78,55.6,12015.0
2025-12-04,56.04,55.9,57.03,55.12,8633.0
2025-12-05,55.9,58.4,58.88,55.35,15800.0
2025-12-08,58.39,61.2,62.5,57.53,23640.0
2025-12-09,61.19,55.55,61.2,55.09,37897.0
2025-12-10,56.42,54.92,56.42,54.32,17493.0
2025-12-11,55.0,53.73,55.56,53.61,10732.0
2025-12-12,53.68,55.4,55.77,53.12,15305.0
2025-12-15,55.44,54.29,55.66,53.87,10448.0
2025-12-16,54.78,53.38,54.78,53.2,7068.0
2025-12-17,53.38,53.5,54.33,52.43,10190.0
2025-12-18,53.5,53.71,54.6,53.01,5065.0
2025-12-19,54.2,53.38,54.36,53.0,5851.0
2025-12-22,53.59,52.99,53.88,52.6,5159.0
2025-12-23,52.76,52.59,54.12,52.33,6254.0
2025-12-24,52.51,52.96,53.27,52.01,6791.0
2025-12-25,52.97,54.81,55.2,52.69,8423.0
2025-12-26,55.2,53.23,55.2,53.0,6777.0
2025-12-29,53.5,55.87,56.0,52.61,14734.0
2025-12-30,55.84,55.5,55.84,54.51,6226.0
2025-12-31,55.92,57.17,58.25,55.0,9991.0
2026-01-05,57.17,62.89,62.89,57.17,27899.0
2026-01-06,65.09,69.18,69.18,64.77,28716.0
2026-01-07,68.49,69.63,71.0,65.82,28022.0
2026-01-08,71.0,73.44,75.0,69.03,23122.0
2026-01-09,73.91,73.59,74.38,69.35,23130.0
2026-01-12,73.01,80.95,80.95,72.02,13610.0
2026-01-13,89.05,78.01,89.05,77.82,35458.0
2026-01-14,79.56,73.59,81.31,72.97,25955.0
2026-01-15,74.0,73.35,78.7,72.55,15303.0
2026-01-16,73.54,72.65,74.01,71.1,13023.0
2026-01-19,73.39,75.75,76.9,72.51,14713.0
2026-01-20,77.12,73.24,77.12,72.51,8167.0
2026-01-21,73.78,76.7,76.88,72.48,11700.0
2026-01-22,82.37,80.4,82.37,74.09,13356.0
2026-01-23,80.64,78.17,82.0,77.28,17183.0
2026-01-26,78.22,80.8,83.0,77.1,14713.0
2026-01-27,80.6,79.24,83.88,75.5,20640.0
2026-01-28,80.43,76.49,80.43,74.61,13556.0
2026-01-29,76.0,73.95,76.54,73.59,14925.0
2026-01-30,73.0,74.68,76.22,72.06,10952.0
2026-02-02,74.76,76.06,80.0,73.75,11423.0
2026-02-03,76.85,79.36,79.99,75.44,13241.0
2026-02-04,79.36,76.49,79.36,76.12,7801.0
2026-02-05,75.47,76.0,77.35,74.69,8157.0
2026-02-06,75.0,74.62,77.5,74.48,8144.0
2026-02-09,76.5,78.38,80.2,74.92,17677.0
2026-02-10,78.3,79.3,80.0,76.24,11769.0
2026-02-11,81.5,79.33,84.0,78.61,23187.0
2026-02-12,79.81,79.64,80.68,77.62,15942.0
2026-02-13,79.64,81.9,83.99,78.66,14458.0
2026-02-24,81.72,82.5,84.21,79.0,14741.0
2026-02-25,82.52,86.77,88.6,81.7,14793.0
2026-02-26,86.55,84.4,87.74,83.2,14037.0
