date,open,close,high,low,amount
2026-04-10,60.0,61.8,68.6,60.0,91630.0
2026-04-13,59.71,60.95,65.37,57.6,56149.0
2026-04-14,60.8,66.2,73.73,60.08,56389.0
2026-04-15,65.5,66.98,70.8,65.05,46421.0
2026-04-16,66.21,64.49,66.6,63.1,34723.0
2026-04-17,64.0,73.97,79.88,62.8,49663.0
2026-04-20,72.0,72.72,79.79,71.08,41075.0
2026-04-21,71.01,78.38,79.78,70.85,37232.0
2026-04-22,77.3,82.77,86.5,75.36,35230.0
2026-04-23,82.41,86.89,91.88,80.28,38038.0
2026-04-24,87.18,80.41,88.0,78.78,33274.0
2026-04-27,80.38,80.6,84.01,78.51,21876.0
2026-04-28,79.0,75.74,80.38,74.83,22645.0
2026-04-29,75.44,77.98,80.18,74.69,21045.0
2026-04-30,77.98,84.12,85.86,77.87,28644.0
2026-05-06,85.2,109.35,109.35,85.2,47694.0
2026-05-07,105.22,109.99,112.99,100.66,38163.0
2026-05-08,105.06,105.18,109.0,103.3,26471.0
2026-05-11,108.98,113.96,119.29,105.01,36141.0
2026-05-12,114.57,107.99,122.0,107.99,29593.0
2026-05-13,105.11,110.56,113.43,102.0,24027.0
2026-05-14,112.0,127.09,139.65,112.0,37389.0
2026-05-15,127.0,128.0,135.0,120.01,30467.0
2026-05-18,125.08,132.8,133.83,120.67,25555.0
2026-05-19,127.0,122.8,129.99,118.01,23085.0
2026-05-20,119.9,123.18,128.44,119.52,17718.0
2026-05-21,123.38,105.16,125.69,104.66,27151.0
2026-05-22,106.7,108.38,110.58,103.59,16421.0
2026-05-25,108.01,115.64,117.0,106.01,20517.0
2026-05-26,112.68,106.43,113.68,100.58,18061.0
2026-05-27,109.0,111.75,118.79,105.51,26046.0
2026-05-28,112.0,127.3,134.99,110.01,34350.0
2026-05-29,125.58,115.99,126.16,114.0,26459.0
2026-06-01,114.11,104.78,115.95,103.98,20790.0
2026-06-02,103.0,106.1,110.25,102.0,14346.0
