date,open,close,high,low,amount
2025-12-01,16.41,16.28,16.58,16.21,26413.0
2025-12-02,16.33,16.12,16.36,15.95,22139.0
2025-12-03,16.29,15.98,16.29,15.85,19730.0
2025-12-04,15.98,15.72,16.07,15.61,22867.0
2025-12-05,15.72,16.15,16.18,15.59,20461.0
2025-12-08,16.22,16.19,16.43,16.15,19837.0
2025-12-09,16.16,16.05,16.29,15.99,17097.0
2025-12-10,16.05,15.54,16.11,15.47,23608.0
2025-12-11,15.59,15.07,15.64,15.04,31471.0
2025-12-12,15.05,14.88,15.51,14.85,31393.0
2025-12-15,14.8,15.0,15.26,14.61,25340.0
2025-12-16,14.96,14.56,14.99,14.51,23836.0
2025-12-17,14.56,14.51,14.71,14.25,23031.0
2025-12-18,14.33,14.92,15.17,14.33,29578.0
2025-12-19,14.97,15.42,15.45,14.93,20015.0
2025-12-22,15.51,15.28,15.69,15.21,22242.0
2025-12-23,15.22,15.34,15.42,15.12,22504.0
2025-12-24,15.3,15.44,15.49,15.13,20664.0
2025-12-25,15.48,15.62,15.69,15.42,16334.0
2025-12-26,15.69,15.29,15.75,15.29,22341.0
2025-12-29,15.32,15.42,15.45,15.19,22305.0
2025-12-30,15.4,15.5,15.85,15.21,25234.0
2025-12-31,15.48,15.62,15.7,15.25,20819.0
2026-01-05,15.62,15.65,15.84,15.51,29227.0
2026-01-06,15.62,15.67,15.87,15.6,24258.0
2026-01-07,15.68,15.49,15.71,15.45,17883.0
2026-01-08,15.49,15.8,15.87,15.42,26179.0
2026-01-09,15.84,15.88,15.96,15.7,24219.0
2026-01-12,15.88,16.25,16.33,15.82,27555.0
2026-01-13,16.31,16.19,16.4,15.97,29237.0
2026-01-14,16.21,16.36,16.66,16.07,45476.0
2026-01-15,16.32,16.39,16.46,16.2,23396.0
2026-01-16,16.5,16.53,16.66,16.32,30584.0
2026-01-19,16.55,16.94,16.98,16.51,36069.0
2026-01-20,17.08,16.99,17.13,16.78,30531.0
2026-01-21,16.93,17.28,17.4,16.67,27402.0
2026-01-22,17.28,17.48,17.65,17.12,31217.0
2026-01-23,17.48,17.47,17.63,17.4,22880.0
2026-01-26,17.66,17.32,17.71,17.05,37762.0
2026-01-27,17.27,17.29,17.39,16.65,35852.0
2026-01-28,17.32,17.0,17.44,16.92,26273.0
2026-01-29,16.96,16.85,17.24,16.66,25263.0
2026-01-30,16.83,16.96,17.25,16.69,29947.0
2026-02-02,17.0,17.35,17.88,17.0,59921.0
2026-02-03,17.49,17.73,17.86,17.35,47457.0
2026-02-04,17.74,17.93,18.55,17.63,49325.0
2026-02-05,17.93,17.81,18.18,17.75,32881.0
2026-02-06,17.8,17.97,18.18,17.54,29450.0
2026-02-09,18.15,17.97,18.22,17.76,28659.0
2026-02-10,18.05,18.0,18.14,17.91,23586.0
2026-02-11,18.02,17.94,18.07,17.65,21035.0
2026-02-12,17.99,17.85,18.09,17.73,16629.0
2026-02-13,17.75,17.83,18.06,17.7,21567.0
2026-02-24,17.87,18.24,18.35,17.87,21560.0
2026-02-25,18.25,18.2,18.41,18.14,21278.0
2026-02-26,18.27,18.33,18.34,18.1,17648.0
2026-02-27,18.21,17.95,18.29,17.9,29226.0
2026-03-02,17.8,17.4,18.06,17.13,39585.0
2026-03-03,17.44,16.99,17.67,16.81,35783.0
2026-03-04,16.77,16.87,17.08,16.56,31830.0
2026-03-05,17.18,17.07,17.43,16.93,21757.0
2026-03-06,17.05,17.78,17.85,17.0,29290.0
2026-03-09,17.53,17.62,17.77,17.24,27850.0
2026-03-10,17.86,18.21,18.25,17.84,30069.0
2026-03-11,18.12,17.96,18.25,17.8,26013.0
2026-03-12,17.98,17.59,18.19,17.43,23291.0
2026-03-13,17.57,17.57,17.94,17.43,16794.0
2026-03-16,17.21,17.41,17.73,17.21,24711.0
2026-03-17,17.45,16.96,17.56,16.88,19452.0
2026-03-18,16.99,17.31,17.36,16.73,22555.0
2026-03-19,17.06,16.78,17.33,16.7,22869.0
2026-03-20,16.79,16.14,17.1,16.03,37700.0
2026-03-23,15.85,14.75,16.03,14.5,56344.0
2026-03-24,15.34,16.05,16.1,14.93,72508.0
2026-03-25,16.34,16.37,16.6,16.15,49407.0
2026-03-26,16.37,15.84,16.52,15.73,31710.0
2026-03-27,15.75,16.28,16.43,15.58,27487.0
2026-03-30,15.46,16.38,16.46,15.45,32265.0
2026-03-31,16.39,16.11,16.73,16.08,39090.0
2026-04-01,16.47,16.19,16.74,15.95,33554.0
2026-04-02,16.2,15.85,16.49,15.59,28567.0
2026-04-03,15.93,15.23,15.93,15.07,24440.0
2026-04-07,15.32,15.81,15.92,15.18,33744.0
2026-04-08,16.45,16.9,16.95,16.1,38065.0
2026-04-09,16.85,16.29,16.85,16.19,32421.0
2026-04-10,16.35,16.38,16.78,16.33,23386.0
2026-04-13,16.34,16.13,16.42,16.02,22440.0
2026-04-14,16.32,16.11,16.47,15.86,26366.0
2026-04-15,16.2,15.96,16.25,15.92,24343.0
2026-04-16,16.06,16.44,16.52,15.81,22438.0
2026-04-17,16.44,16.35,16.57,16.21,18721.0
2026-04-20,16.35,16.51,16.59,16.2,17727.0
2026-04-21,16.5,16.53,16.75,16.42,20885.0
2026-04-22,16.45,16.43,16.58,16.25,15159.0
2026-04-23,16.5,16.19,16.52,16.09,20370.0
2026-04-24,16.19,16.51,16.68,15.91,28724.0
2026-04-27,16.42,16.93,17.05,16.25,31405.0
2026-04-28,17.48,18.22,18.98,17.2,141599.0
2026-04-29,18.24,18.74,19.5,18.13,129157.0
2026-04-30,18.61,18.81,18.85,18.22,96010.0
