date,open,close,high,low,amount
2025-12-01,15.77,15.31,15.77,15.23,2115960.0
2025-12-02,15.23,14.93,15.24,14.72,2088738.0
2025-12-03,14.88,14.65,15.09,14.55,1645692.0
2025-12-04,14.73,14.29,14.73,14.28,1747699.0
2025-12-05,14.4,14.42,14.47,14.12,1616884.0
2025-12-08,14.58,14.75,14.86,14.58,1760311.0
2025-12-09,14.99,14.32,14.99,14.32,1335637.0
2025-12-10,14.38,13.85,14.5,13.85,1577763.0
2025-12-11,13.93,13.36,13.99,13.33,2366500.0
2025-12-12,13.28,13.07,13.52,12.95,2262436.0
2025-12-15,13.09,13.12,13.31,12.87,1962997.0
2025-12-16,13.12,12.93,13.21,12.75,1277220.0
2025-12-17,13.03,12.85,13.03,12.55,1750928.0
2025-12-18,12.85,13.27,13.48,12.76,2523948.0
2025-12-19,13.34,13.64,13.74,13.25,1908896.0
2025-12-22,13.66,13.45,13.86,13.43,1604590.0
2025-12-23,13.54,13.2,13.54,13.11,1531297.0
2025-12-24,13.29,13.31,13.4,13.16,957463.0
2025-12-25,13.37,13.45,13.51,13.24,1403299.0
2025-12-26,13.54,13.28,13.55,13.21,1831968.0
2025-12-29,13.39,13.33,13.46,13.12,1358779.0
2025-12-30,13.39,13.21,13.5,13.19,1198837.0
2025-12-31,13.28,13.25,13.33,12.99,1230163.0
2026-01-05,13.32,13.68,13.92,13.12,2648706.0
2026-01-06,13.75,13.56,13.86,13.49,1778746.0
2026-01-07,13.49,13.36,13.58,13.31,1849207.0
2026-01-08,13.42,13.79,13.86,13.38,1846476.0
2026-01-09,13.85,14.02,14.18,13.71,2331123.0
2026-01-12,14.06,14.58,14.61,14.06,2678452.0
2026-01-13,14.63,14.6,15.0,14.4,2690413.0
2026-01-14,14.67,15.09,15.31,14.56,3240043.0
2026-01-15,15.16,14.84,15.16,14.56,2918242.0
2026-01-16,14.91,14.7,15.11,14.5,2205939.0
2026-01-19,14.7,15.29,15.34,14.57,2996390.0
2026-01-20,15.29,15.01,15.58,14.8,2732023.0
2026-01-21,15.08,15.3,15.46,14.64,2357440.0
2026-01-22,15.22,15.49,15.68,15.2,1214306.0
2026-01-23,15.48,15.5,15.63,15.42,1274728.0
2026-01-26,15.5,15.14,15.61,14.92,1800727.0
2026-01-27,15.13,15.15,15.32,14.62,2070252.0
2026-01-28,15.22,15.35,15.49,15.0,2351114.0
2026-01-29,15.35,15.23,16.27,14.9,4012066.0
2026-01-30,15.18,15.53,15.6,15.1,2188107.0
2026-02-02,15.59,15.33,16.35,15.25,2666980.0
2026-02-03,15.41,16.05,16.24,15.41,2563159.0
2026-02-04,16.05,15.83,16.16,15.62,2087763.0
2026-02-05,16.0,16.03,16.2,15.83,1592497.0
2026-02-06,15.87,16.06,16.26,15.8,1362891.0
2026-02-09,16.2,16.29,16.39,16.17,1546253.0
2026-02-10,16.37,16.6,16.74,16.3,1821577.0
2026-02-11,16.54,16.64,16.87,16.2,1749760.0
2026-02-12,16.64,16.8,16.96,16.19,2145685.0
2026-02-13,16.6,16.35,16.88,16.35,2153198.0
2026-02-24,16.66,16.62,16.99,16.44,2450212.0
2026-02-25,16.72,17.08,17.18,16.59,1688398.0
2026-02-26,17.19,16.77,17.19,16.51,1683710.0
2026-02-27,16.76,16.38,16.8,16.2,2299121.0
2026-03-02,15.99,15.59,16.31,15.33,2720935.0
2026-03-03,15.68,15.0,15.72,14.9,3000342.0
2026-03-04,14.86,15.07,15.39,14.69,3324094.0
2026-03-05,15.31,15.17,15.65,15.04,1860233.0
2026-03-06,15.17,15.78,15.8,15.07,1940708.0
2026-03-09,15.8,15.65,15.9,15.2,2578918.0
2026-03-10,15.75,16.24,16.24,15.75,1818621.0
2026-03-11,16.24,15.84,16.47,15.59,2320040.0
2026-03-12,15.79,15.59,16.13,15.5,1791496.0
2026-03-13,15.5,15.57,15.78,15.41,1515451.0
2026-03-16,15.45,15.46,15.69,15.23,1417210.0
2026-03-17,15.55,14.93,15.59,14.9,1617989.0
2026-03-18,14.94,15.35,15.39,14.75,1777136.0
2026-03-19,15.13,14.93,15.31,14.84,1573151.0
2026-03-20,15.03,14.16,15.08,14.1,2853797.0
2026-03-23,13.51,13.07,13.98,12.72,2916699.0
2026-03-24,13.3,14.13,14.19,13.09,2913676.0
2026-03-25,14.29,14.21,14.64,14.13,2116397.0
2026-03-26,14.01,13.89,14.4,13.51,2067746.0
2026-03-27,13.75,13.97,14.18,13.63,2187050.0
2026-03-30,13.92,14.15,14.25,13.71,2096646.0
2026-03-31,14.15,13.82,14.45,13.69,1860066.0
2026-04-01,14.31,13.99,14.34,13.77,1676803.0
2026-04-02,14.08,13.55,14.08,13.41,1736960.0
2026-04-03,13.61,13.08,13.67,12.93,2285190.0
2026-04-07,12.99,13.54,13.6,12.96,1825075.0
2026-04-08,13.99,14.37,14.37,13.87,1877154.0
2026-04-09,14.39,13.67,14.39,13.63,1809640.0
2026-04-10,13.73,13.76,14.08,13.7,1317407.0
2026-04-13,13.65,13.6,13.75,13.4,1437815.0
2026-04-14,13.73,13.62,13.9,13.39,1714234.0
2026-04-15,13.67,13.6,13.77,13.47,1135122.0
2026-04-16,13.59,14.07,14.2,13.5,1450448.0
2026-04-17,14.08,13.83,14.08,13.69,2164357.0
2026-04-20,13.84,14.0,14.14,13.7,1377967.0
2026-04-21,14.09,14.06,14.19,13.8,1573654.0
2026-04-22,13.91,13.96,14.15,13.89,1449099.0
2026-04-23,13.92,13.74,14.05,13.67,1271025.0
2026-04-24,13.74,14.1,14.15,13.56,1697857.0
2026-04-27,14.1,14.46,14.52,13.86,1611299.0
2026-04-28,14.41,14.36,14.72,14.2,1929619.0
2026-04-29,14.44,14.83,15.05,14.43,2091139.0
2026-04-30,15.13,15.39,15.61,14.55,2659288.0
2026-05-06,15.47,15.73,16.28,15.42,4476847.0
2026-05-07,15.66,16.0,16.14,15.66,2517530.0
2026-05-08,16.0,16.26,16.45,15.99,2092183.0
2026-05-11,15.93,16.37,16.58,15.93,2492253.0
2026-05-12,16.35,16.1,16.73,15.92,2296913.0
2026-05-13,16.16,15.97,16.18,15.81,1916483.0
2026-05-14,15.99,16.1,16.43,15.8,2792236.0
2026-05-15,15.88,16.0,16.5,15.88,1988756.0
2026-05-18,15.87,16.95,16.98,15.71,3550895.0
2026-05-19,16.8,16.71,16.85,16.35,2606974.0
2026-05-20,16.68,16.52,16.93,16.3,1983125.0
2026-05-21,16.83,15.8,16.9,15.05,2447314.0
2026-05-22,15.94,16.56,16.72,15.75,2353674.0
2026-05-25,16.5,16.17,16.94,15.93,2551349.0
2026-05-26,16.17,15.79,16.17,15.48,2193018.0
2026-05-27,15.71,15.28,15.88,14.73,2784209.0
2026-05-28,15.39,15.3,15.49,14.61,2584943.0
2026-05-29,15.28,14.36,15.51,14.24,2545581.0
2026-06-01,14.3,15.06,15.45,14.14,2955160.0
2026-06-02,15.07,14.86,15.62,14.73,3310966.0
