date,open,close,high,low,amount
2025-12-01,4.85,4.82,4.88,4.79,303407.0
2025-12-02,4.81,4.73,4.82,4.69,277658.0
2025-12-03,4.73,4.6,4.75,4.57,366609.0
2025-12-04,4.61,4.61,4.79,4.56,449212.0
2025-12-05,4.58,4.58,4.59,4.48,371405.0
2025-12-08,4.57,4.6,4.63,4.55,253663.0
2025-12-09,4.59,4.57,4.67,4.56,245879.0
2025-12-10,4.55,4.54,4.59,4.51,220146.0
2025-12-11,4.56,4.4,4.56,4.4,260390.0
2025-12-12,4.4,4.4,4.46,4.39,173280.0
2025-12-15,4.38,4.38,4.43,4.34,147650.0
2025-12-16,4.38,4.26,4.39,4.25,189493.0
2025-12-17,4.26,4.28,4.29,4.18,208684.0
2025-12-18,4.25,4.28,4.34,4.23,165839.0
2025-12-19,4.28,4.37,4.38,4.28,193499.0
2025-12-22,4.37,4.35,4.39,4.34,152975.0
2025-12-23,4.35,4.29,4.36,4.28,153183.0
2025-12-24,4.27,4.31,4.32,4.27,142512.0
2025-12-25,4.32,4.34,4.35,4.28,149602.0
2025-12-26,4.35,4.34,4.37,4.31,201325.0
2025-12-29,4.33,4.28,4.35,4.27,151248.0
2025-12-30,4.29,4.33,4.37,4.26,221728.0
2025-12-31,4.33,4.39,4.41,4.3,265699.0
2026-01-05,4.44,4.5,4.53,4.4,432329.0
2026-01-06,4.49,4.47,4.5,4.43,290747.0
2026-01-07,4.48,4.48,4.53,4.46,290915.0
2026-01-08,4.46,4.51,4.57,4.43,303197.0
2026-01-09,4.5,4.67,4.67,4.49,515042.0
2026-01-12,4.7,5.04,5.07,4.7,1096579.0
2026-01-13,5.16,5.16,5.48,4.9,1706808.0
2026-01-14,5.08,5.26,5.44,5.06,1425272.0
2026-01-15,5.15,5.1,5.26,5.05,870090.0
2026-01-16,5.08,4.85,5.1,4.82,770197.0
2026-01-19,4.85,4.81,4.86,4.75,494348.0
2026-01-20,4.81,4.95,5.25,4.81,1117247.0
2026-01-21,4.91,4.91,4.98,4.86,577498.0
2026-01-22,4.93,4.97,5.02,4.88,450222.0
2026-01-23,4.97,5.04,5.08,4.94,523287.0
