排名,代码,股票代码,名称,最新价,涨跌幅,成交额,换手率,市盈率,市净率,总市值,流通市值,动量得分,动量排名,信号日期
1,bj920128,920128,胜业电气,33.28,30.0,240784198,31.99628,145.137,5.264,270200.32,80870.4,30.0,1,20260602
2,bj920725,920725,惠丰钻石,80.6,30.0,666940818,22.76282,-383.81,12.238,735676.5,335053.2328,30.0,1,20260602
3,bj920971,920971,天马新材,43.49,20.873,597537693,16.95375,120.271,9.674,457027.720698,372721.485898,20.873,3,20260602
4,sz300197,300197,节能铁汉,2.32,20.207,982659091,14.94763,-3.207,-19.11,687949.15456,687931.75456,20.207,4,20260602
5,sz300486,300486,东杰智能,29.98,20.016,1837525678,13.70741,599.6,8.417,1430492.510128,1430062.569946,20.016,5,20260602
6,sz301566,301566,达利凯普,37.3,20.013,1135066369,15.29788,93.25,9.797,1492037.3,805343.71066,20.013,6,20260602
7,sh688079,688079,美迪凯,26.76,20.0,540700001,5.1403,-68.615,8.82,1101265.995528,1082089.993608,20.0,7,20260602
8,sz301419,301419,阿莱德,44.88,20.0,737613795,17.21511,84.679,6.923,673200.0,445022.226,20.0,7,20260602
9,sz301563,301563,云汉芯城,211.7,19.998,1808351205,49.37481,113.209,14.163,1792060.14576,405102.66315,19.998,9,20260602
10,bj920161,920161,龙辰科技,44.8,19.435,630329279,43.57091,53.333,8.226,609252.85568,165306.8032,19.435,10,20260602
11,bj920807,920807,奔朗新材,13.9,19.313,235452576,14.60156,115.162,2.7,252813.2,171735.78158,19.313,11,20260602
12,bj920190,920190,雷神科技,37.29,19.023,1043089464,28.619,162.91,4.3,372900.003729,370823.137179,19.023,12,20260602
13,sh688515,688515,裕太微,217.0,17.909,1775506246,17.17547,-129.167,11.835,1736000.0,1081080.98,17.909,13,20260602
14,bj920125,920125,鸿仕达,207.79,17.735,654473657,20.36469,126.701,23.893,1166948.64,342469.898881,17.735,14,20260602
15,bj920932,920932,科达自控,17.8,16.416,201429462,13.15888,-21.19,3.111,187523.623,154527.39988,16.416,15,20260602
16,sz301428,301428,世纪恒通,36.74,16.339,575956608,23.24573,-99.647,3.008,362501.334558,258579.99607,16.339,16,20260602
17,sz301013,301013,利和兴,53.5,15.551,3594664127,37.65555,-74.306,18.685,1250525.3496,1012442.7633,15.551,17,20260602
18,sz300184,300184,力源信息,18.26,15.132,5115928104,27.60819,122.55,4.987,2101784.654772,1924611.028274,15.132,18,20260602
19,bj920225,920225,利通科技,24.98,14.851,159627636,8.34527,37.848,4.279,317043.397212,206789.820692,14.851,19,20260602
20,sz300620,300620,光库科技,320.02,14.847,8737358696,11.55975,451.368,36.169,7974275.80109,7915104.10309,14.847,20,20260602
