day,open,high,low,close,volume
2025-05-22,19.69,19.76,18.9,19.05,15358800
2025-05-23,18.89,19.62,18.55,18.8,15469450
2025-05-26,18.71,18.9,18.45,18.76,9129950
2025-05-27,18.77,19.35,18.0,18.63,18114700
2025-05-28,18.76,20.25,18.41,19.8,30520935
2025-05-29,19.0,19.39,17.6,18.1,38449433
2025-05-30,17.66,17.7,16.61,16.68,21559128
2025-06-03,16.22,17.05,16.22,16.54,14451763
2025-06-04,16.58,17.16,16.4,17.08,14136166
2025-06-05,16.95,17.33,16.71,17.11,13740778
2025-06-06,17.05,18.18,17.05,17.71,20924390
2025-06-09,17.7,18.27,17.53,17.81,13023500
2025-06-10,17.74,18.06,17.32,17.8,12504262
2025-06-11,17.82,18.05,17.66,17.79,10570112
2025-06-12,17.6,17.88,17.3,17.41,11281404
2025-06-13,17.02,17.33,16.38,16.48,13250900
2025-06-16,16.36,16.93,16.16,16.8,8812400
2025-06-17,16.64,16.9,16.5,16.73,6505890
2025-06-18,16.63,16.85,16.38,16.7,5782790
2025-06-19,16.7,17.13,16.12,16.13,9739800
2025-06-20,16.17,16.33,15.72,15.83,7797400
2025-06-23,15.98,16.34,15.81,16.17,5632350
2025-06-24,16.14,17.05,16.14,16.99,10662850
2025-06-25,16.99,17.37,16.87,17.08,9740900
2025-06-26,17.0,17.14,16.54,16.59,9551000
2025-06-27,16.6,16.75,16.43,16.57,6162150
2025-06-30,16.55,17.24,16.55,16.95,9601350
2025-07-01,16.95,17.42,16.91,17.08,9489350
2025-07-02,17.02,17.32,16.57,16.77,6716900
2025-07-03,16.77,17.18,16.56,17.0,11605300
2025-07-04,16.9,16.95,16.5,16.66,8709150
2025-07-07,16.74,16.78,16.43,16.66,5293500
2025-07-08,16.61,16.94,16.59,16.74,6039000
2025-07-09,16.72,17.0,16.37,16.41,8655950
2025-07-10,16.5,17.83,16.06,17.52,27126461
2025-07-11,17.64,17.69,17.3,17.47,15647044
2025-07-14,17.44,17.55,17.05,17.41,8864500
2025-07-15,17.31,17.42,16.9,17.39,9689900
2025-07-16,17.37,18.14,17.15,17.75,16766859
2025-07-17,17.66,18.15,17.56,17.87,11766406
2025-07-18,17.87,17.89,17.44,17.56,7295000
2025-07-21,17.56,17.72,17.3,17.56,7797756
2025-07-22,17.41,17.66,17.3,17.31,6567845
2025-07-23,17.32,17.39,17.12,17.17,4917231
2025-07-24,17.24,17.99,17.14,17.74,12799993
2025-07-25,17.65,17.98,17.55,17.9,9618400
2025-07-28,18.0,18.25,17.67,18.04,13822100
2025-07-29,17.89,17.98,17.45,17.63,9497790
2025-07-30,17.5,17.58,17.14,17.36,8295660
2025-07-31,17.38,17.95,17.33,17.55,12554933
2025-08-01,17.41,17.92,17.26,17.39,9561966
2025-08-04,17.23,18.05,17.13,17.99,14624848
2025-08-05,18.07,18.33,17.96,18.28,12178470
2025-08-06,18.3,18.78,18.16,18.49,12677137
2025-08-07,18.44,18.58,18.01,18.06,10131550
2025-08-08,17.71,17.86,17.15,17.58,14101100
2025-08-11,17.58,18.4,17.41,17.99,13814128
2025-08-12,17.9,18.14,17.67,18.0,9972600
2025-08-13,18.0,18.6,17.83,18.6,16364100
2025-08-14,18.59,18.61,17.8,18.0,16948850
2025-08-15,17.91,18.72,17.91,18.48,17553307
2025-08-18,18.71,19.5,18.4,19.09,22795291
2025-08-19,18.91,20.28,18.63,20.0,31366800
2025-08-20,19.8,20.4,19.64,20.01,19912390
2025-08-21,19.89,20.26,19.42,19.73,17920541
2025-08-22,19.91,20.15,19.37,19.67,15941351
2025-08-25,19.68,19.91,19.28,19.49,15067950
2025-08-26,19.49,19.65,19.25,19.32,12455990
2025-08-27,19.26,19.38,18.5,18.5,16048750
2025-08-28,18.53,18.8,17.92,18.58,12611494
2025-08-29,18.57,19.14,18.35,18.7,11314009
2025-09-01,18.95,19.57,18.85,19.31,18321560
2025-09-02,19.33,19.4,17.9,18.45,15530750
2025-09-03,18.49,19.47,17.89,19.06,22727253
