date,open,high,low,close,volume
2025-05-22,18.38,18.68,18.36,18.58,133536115
2025-05-23,18.54,18.7,18.44,18.59,120687210
2025-05-26,18.5,18.87,18.48,18.56,112661379
2025-05-27,18.53,18.65,17.68,17.88,172685616
2025-05-28,17.8,18.1,17.7,17.98,99196119
2025-05-29,17.83,18.05,17.78,17.82,90447963
2025-05-30,17.94,18.07,17.66,17.73,93355937
2025-06-03,18.07,18.28,17.96,18.06,139522376
2025-06-04,18.06,18.32,18.01,18.09,83166310
2025-06-05,18.15,18.3,17.86,17.88,89338691
2025-06-06,17.99,18.25,17.92,18.14,133465047
2025-06-09,17.97,18.14,17.63,17.97,191491555
2025-06-10,17.9,18.38,17.9,18.27,150608310
2025-06-11,18.27,18.71,18.23,18.66,128368795
2025-06-12,18.72,19.49,18.63,19.46,208562950
2025-06-13,19.26,19.37,19.04,19.15,187887432
2025-06-16,19.14,19.16,18.69,18.82,133058304
2025-06-17,18.79,18.97,18.7,18.87,84091698
2025-06-18,18.86,18.98,18.58,18.78,93199839
2025-06-19,18.75,18.78,18.37,18.37,101642948
2025-06-20,18.43,18.61,18.34,18.41,87653782
2025-06-23,18.45,18.62,18.28,18.51,98516925
2025-06-24,18.43,18.95,18.4,18.54,128702412
2025-06-25,18.58,19.0,18.45,18.99,122599826
2025-06-26,18.9,19.22,18.72,18.98,127312211
2025-06-27,19.2,20.06,19.2,19.78,239148155
2025-06-30,19.78,19.83,19.4,19.5,138727042
2025-07-01,19.69,19.92,19.38,19.9,123933416
2025-07-02,19.9,20.43,19.8,20.17,170369637
2025-07-03,20.37,20.49,20.08,20.29,137380888
2025-07-04,20.07,20.29,19.84,20.05,135855626
2025-07-07,19.96,20.02,19.71,19.8,83467474
2025-07-08,19.87,20.04,19.75,19.82,97073377
2025-07-09,19.89,19.89,18.87,18.9,333834833
2025-07-10,18.92,19.05,18.81,18.84,189327293
2025-07-11,18.89,19.2,18.86,18.89,218170375
2025-07-14,19.27,19.34,19.01,19.08,230591713
2025-07-15,19.06,19.15,18.82,19.12,153148319
2025-07-16,19.14,19.18,18.98,19.14,92688429
2025-07-17,19.13,19.19,18.98,19.07,117455881
2025-07-18,19.19,19.7,19.02,19.47,222955191
2025-07-21,19.56,19.83,19.5,19.79,173022988
2025-07-22,19.92,20.38,19.81,20.25,202578981
2025-07-23,20.43,20.48,20.11,20.21,181222474
2025-07-24,20.0,20.27,19.83,20.12,161026871
2025-07-25,19.96,20.07,19.81,19.85,125296458
2025-07-28,19.71,19.8,19.43,19.8,143705129
2025-07-29,19.6,19.74,19.51,19.59,129687009
2025-07-30,19.6,19.98,19.59,19.82,154361848
2025-07-31,19.51,19.52,19.03,19.15,208764256
2025-08-01,19.1,19.43,19.05,19.26,121999050
2025-08-04,19.57,19.94,19.5,19.88,173825988
2025-08-05,19.99,20.02,19.77,19.87,113838689
2025-08-06,19.81,20.25,19.78,20.16,142803170
2025-08-07,20.16,20.36,19.96,20.3,131718225
2025-08-08,20.36,20.7,20.3,20.54,127651036
2025-08-11,20.51,20.51,20.19,20.25,140992044
2025-08-12,20.22,20.56,20.14,20.3,117353420
2025-08-13,20.45,21.17,20.4,21.02,185834096
2025-08-14,21.03,21.53,20.97,21.17,138815217
2025-08-15,20.94,21.56,20.87,21.29,170980482
2025-08-18,21.3,21.37,20.8,20.8,261095278
2025-08-19,20.81,21.14,20.28,20.33,235250121
2025-08-20,20.33,20.57,20.19,20.56,168298578
2025-08-21,20.71,20.8,20.51,20.6,128648595
2025-08-22,20.65,20.76,20.45,20.66,148995531
2025-08-25,21.05,22.25,21.05,22.21,306329955
2025-08-26,22.19,22.55,21.96,22.39,184883107
2025-08-27,22.49,23.3,22.32,22.53,238891020
2025-08-28,22.54,22.89,22.21,22.52,173370467
2025-08-29,22.82,23.48,22.7,23.08,250412819
2025-09-01,23.9,24.65,23.41,24.38,376321765
2025-09-02,24.77,25.08,23.98,24.41,343891358
2025-09-03,25.1,25.51,24.39,24.94,307190816
2025-09-04,24.8,25.18,23.39,23.87,387755285
2025-09-05,23.79,25.41,23.79,25.27,345232193
2025-09-08,25.7,25.8,24.42,24.64,317257933
2025-09-09,24.99,25.85,24.75,25.19,353351554
2025-09-10,24.55,25.26,24.51,25.18,224391250
2025-09-11,25.25,25.74,25.08,25.71,250428471
2025-09-12,26.0,26.35,25.43,25.65,326266858
2025-09-15,25.54,26.1,25.3,25.5,240898187
2025-09-16,26.1,26.15,24.89,25.32,312802939
2025-09-17,25.12,25.29,24.75,25.07,209214970
2025-09-18,24.68,25.04,24.11,24.42,263192155
2025-09-19,24.42,25.15,24.42,25.02,202176273
2025-09-22,25.5,25.56,24.85,25.37,194423251
2025-09-23,25.6,26.38,25.25,25.82,276108202
2025-09-24,25.82,25.93,25.49,25.93,168002837
2025-09-25,26.9,27.64,26.69,27.27,395322724
2025-09-26,27.1,28.36,26.91,27.4,282057194
2025-09-29,27.7,28.86,27.53,28.77,399793958
2025-09-30,29.57,29.88,28.74,29.44,385888298
2025-10-09,31.22,32.38,30.77,32.38,509343384
2025-10-10,31.5,32.0,30.35,30.87,466020625
2025-10-13,30.05,31.65,29.88,31.3,417573019
2025-10-14,32.4,32.65,29.15,29.5,539236050
2025-10-15,29.96,31.2,29.38,30.98,365641142
2025-10-16,30.99,31.37,30.06,30.47,289900966
2025-10-17,31.12,31.3,30.03,30.17,304443734
2025-10-20,29.4,30.29,29.0,29.75,297341006
2025-10-21,30.4,30.78,29.81,30.05,261648588
2025-10-22,28.19,29.6,28.19,29.45,315355482
2025-10-23,29.03,29.93,28.56,29.7,246528306
2025-10-24,30.05,30.3,29.76,30.03,186969778
2025-10-27,30.12,31.3,30.12,31.0,290246620
2025-10-28,30.5,30.79,29.81,29.84,264245245
2025-10-29,30.05,31.05,30.01,30.96,211650959
2025-10-30,30.78,31.6,30.62,31.11,276672292
2025-10-31,31.11,31.29,30.45,30.5,174923110
2025-11-03,30.11,30.33,28.87,30.0,236191270
2025-11-04,29.5,29.78,28.6,28.78,268031747
2025-11-05,27.92,29.25,27.82,29.01,215461356
2025-11-06,29.01,29.8,28.92,29.7,178969843
2025-11-07,29.69,30.25,29.62,30.17,149756654
2025-11-10,30.8,30.95,29.88,30.17,188511170
2025-11-11,30.57,30.68,29.5,29.62,166437726
2025-11-12,29.62,30.06,29.15,29.49,136428812
2025-11-13,29.8,31.12,29.71,30.72,280933594
2025-11-14,30.1,30.43,29.82,30.02,166166770
2025-11-17,29.73,29.92,28.86,28.98,215994374
2025-11-18,28.7,28.95,28.21,28.39,173339754
2025-11-19,28.74,29.55,28.7,29.34,192184477
