代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
bj920128,920128,胜业电气,33.28,7.68,30.0,33.280,0.000,25.6,25.7,33.28,25.5,7775095,240784198,15:30:02,145.137,5.264,270200.32,80870.4,31.99628,北交所
bj920725,920725,惠丰钻石,80.6,18.6,30.0,80.600,0.000,62.0,59.03,80.6,59.03,9462478,666940818,15:30:02,-383.81,12.238,735676.5,335053.2328,22.76282,北交所
bj920971,920971,天马新材,43.49,7.51,20.873,43.480,43.490,35.98,35.6,44.0,35.57,14529841,597537693,15:30:02,120.271,9.674,457027.720698,372721.485898,16.95375,北交所
sz300197,300197,节能铁汉,2.32,0.39,20.207,2.320,0.000,1.93,2.09,2.32,2.01,443230485,982659091,16:29:15,-3.207,-19.11,687949.15456,687931.75456,14.94763,深交所
sz300486,300486,东杰智能,29.98,5.0,20.016,29.980,0.000,24.98,25.01,29.98,24.99,65385102,1837525678,16:29:45,599.6,8.417,1430492.510128,1430062.569946,13.70741,深交所
sz301566,301566,达利凯普,37.3,6.22,20.013,37.300,0.000,31.08,31.23,37.3,30.83,33029618,1135066369,16:29:45,93.25,9.797,1492037.3,805343.71066,15.29788,深交所
sh688079,688079,美迪凯,26.76,4.46,20.0,26.760,0.000,22.3,24.76,26.76,24.71,20785769,540700001,15:00:03,-68.615,8.82,1101265.995528,1082089.993608,5.1403,上交所
sz301419,301419,阿莱德,44.88,7.48,20.0,44.880,0.000,37.4,37.29,44.88,37.17,17070201,737613795,16:29:15,84.679,6.923,673200.0,445022.226,17.21511,深交所
sz301563,301563,云汉芯城,211.7,35.28,19.998,211.700,0.000,176.42,168.06,211.7,164.45,9448214,1808351205,16:29:15,113.209,14.163,1792060.14576,405102.66315,49.37481,深交所
sz301139,301139,*ST元道,6.2,1.03,19.923,6.200,0.000,5.17,5.31,6.2,5.26,35652903,206648010,16:29:00,88.571,0.388,75380.096,47223.63176,46.80877,深交所
sh688496,688496,*ST清越,1.28,0.21,19.626,1.280,0.000,1.07,1.04,1.28,1.04,21112049,25120139,15:00:03,-5.565,0.646,57600.0,30457.0368,8.87264,上交所
bj920161,920161,龙辰科技,44.8,7.29,19.435,44.800,44.810,37.51,37.69,44.8,34.67,16077159,630329279,15:30:02,53.333,8.226,609252.85568,165306.8032,43.57091,北交所
bj920807,920807,奔朗新材,13.9,2.25,19.313,13.900,13.910,11.65,11.65,13.98,11.42,18040362,235452576,15:30:02,115.162,2.7,252813.2,171735.78158,14.60156,北交所
bj920190,920190,雷神科技,37.29,5.96,19.023,37.290,37.300,31.33,33.96,39.86,33.0,28459603,1043089464,15:30:02,162.91,4.3,372900.003729,370823.137179,28.619,北交所
sh688515,688515,裕太微,217.0,32.96,17.909,216.960,217.000,184.04,185.0,220.85,181.0,8556717,1775506246,15:00:03,-129.167,11.835,1736000.0,1081080.98,17.17547,上交所
bj920125,920125,鸿仕达,207.79,31.3,17.735,207.780,207.790,176.49,173.8,208.0,173.8,3356415,654473657,15:30:02,126.701,23.893,1166948.64,342469.898881,20.36469,北交所
bj920932,920932,科达自控,17.8,2.51,16.416,17.800,17.850,15.29,15.66,18.98,15.45,11423642,201429462,15:30:02,-21.19,3.111,187523.623,154527.39988,13.15888,北交所
sz301428,301428,世纪恒通,36.74,5.16,16.339,36.740,36.750,31.58,31.72,37.8,31.01,16360587,575956608,16:29:45,-99.647,3.008,362501.334558,258579.99607,23.24573,深交所
sz301013,301013,利和兴,53.5,7.2,15.551,53.490,53.500,46.3,45.47,53.76,44.44,71259979,3594664127,16:29:30,-74.306,18.685,1250525.3496,1012442.7633,37.65555,深交所
sz300184,300184,力源信息,18.26,2.4,15.132,18.260,18.270,15.86,15.99,19.03,15.99,290991430,5115928104,16:29:15,122.55,4.987,2101784.654772,1924611.028274,27.60819,深交所
bj920225,920225,利通科技,24.98,3.23,14.851,24.960,24.980,21.75,21.71,25.65,21.12,6908391,159627636,15:30:02,37.848,4.279,317043.397212,206789.820692,8.34527,北交所
sz300620,300620,光库科技,320.02,41.37,14.847,320.020,320.030,278.65,284.15,323.33,283.0,28590918,8737358696,16:29:00,451.368,36.169,7974275.80109,7915104.10309,11.55975,深交所
sz300835,300835,龙磁科技,195.9,25.1,14.696,195.900,195.970,170.8,172.79,197.0,166.49,8776542,1608392440,16:29:45,136.042,18.364,2336059.3086,1628794.97595,10.55581,深交所
sh688808,688808,联讯仪器,1860.0,231.23,14.197,1860.000,1862.380,1628.77,1661.34,1895.0,1642.98,2218626,3917879071,15:34:59,823.009,186.106,19096000.062,3589082.784,11.49777,上交所
sh688143,688143,长盈通,175.0,21.67,14.133,174.820,175.000,153.33,151.43,175.47,151.0,9837283,1626547991,15:00:01,921.053,16.628,2253664.035,2141552.455,8.03868,上交所
sz301682,301682,宏明电子,181.6,22.3,13.999,181.600,181.680,159.3,160.6,186.69,155.88,8033070,1382182829,16:29:15,51.942,4.412,2207336.34128,466472.66936,31.27312,深交所
sz301312,301312,智立方,133.08,16.03,13.695,133.080,133.090,117.05,118.6,135.0,118.2,7530092,955593073,16:29:15,211.238,13.055,1612671.584496,805836.19662,12.43559,深交所
bj920223,920223,荣亿精密,17.16,2.06,13.642,17.160,17.170,15.1,16.01,17.3,15.15,8899703,146345285,15:30:02,-132.0,11.311,269901.06,139997.715,10.90867,北交所
sz300285,300285,国瓷材料,58.45,6.95,13.495,58.450,58.460,51.5,51.44,59.68,50.13,144821839,8265864591,16:29:30,94.274,8.083,5827747.307655,4893610.0514,17.29773,深交所
sz300956,300956,英力股份,19.2,2.26,13.341,19.200,19.210,16.94,19.28,19.86,18.01,52396931,995024632,16:29:30,320.0,3.072,413621.1072,404068.5984,24.89728,深交所
sh688146,688146,中船特气,192.0,22.01,12.948,192.000,192.060,169.99,173.39,196.58,173.39,23203512,4268286890,15:34:59,295.385,17.323,10164705.888,2783440.1664,16.00564,上交所
sz300420,300420,五洋自控,5.67,0.65,12.948,5.660,5.670,5.02,5.19,5.98,5.19,205872963,1164666525,16:29:30,141.75,2.661,632989.479087,632927.619387,18.44286,深交所
sz300975,300975,商络电子,43.41,4.9,12.724,43.410,43.430,38.51,38.6,44.91,37.5,107942397,4482618810,16:29:00,97.947,11.232,2982291.326964,2146736.775624,21.82745,深交所
sz300419,300419,ST浩丰,7.62,0.86,12.722,7.610,7.620,6.76,6.78,8.1,6.7,20244220,151014214,16:29:15,-26.765,8.412,280228.37274,280228.37274,5.50483,深交所
sz301182,301182,凯旺科技,84.59,9.54,12.712,84.340,84.590,75.05,75.0,84.9,73.0,4580089,365550493,16:29:15,-69.909,12.228,810555.7603,739182.9478,5.24132,深交所
bj920427,920427,华维设计,15.42,1.72,12.555,15.420,15.430,13.7,13.59,15.55,13.43,9603781,142202312,15:30:02,-128.5,5.058,158972.49,78500.157588,18.86497,北交所
sh688498,688498,源杰科技,1206.91,133.47,12.434,1206.910,1206.980,1073.44,1089.36,1235.0,1089.36,7942172,9300037838,15:34:59,538.799,59.516,15026075.000507,14831975.751504,6.46272,上交所
sh688229,688229,博睿数据,99.27,10.76,12.157,99.270,99.310,88.51,90.0,101.58,87.35,4838346,461459364,15:34:59,-44.716,12.056,440758.8,440758.8,10.89718,上交所
sz300715,300715,凯伦股份,24.38,2.62,12.04,24.370,24.380,21.76,23.32,24.96,21.9,48951278,1160580569,16:29:45,406.333,5.251,921699.13834,786105.979688,15.18157,深交所
bj920026,920026,卓兆点胶,35.47,3.75,11.822,35.400,35.470,31.72,32.37,36.89,31.79,2639977,90778826,15:30:02,56.302,4.554,291127.991562,219463.371385,4.26677,北交所
bj920152,920152,昆工科技,21.56,2.27,11.768,21.540,21.560,19.29,19.03,22.5,18.55,9763154,203113176,15:30:02,-10.98,13.502,240052.7052,177011.767548,11.8915,北交所
sz300304,300304,云意电气,14.73,1.51,11.422,14.730,14.740,13.22,13.17,14.83,13.15,77905540,1117152291,16:29:00,27.278,3.799,1293505.696614,1256581.587282,9.1323,深交所
sz300328,300328,宜安科技,20.03,2.04,11.34,20.030,20.040,17.99,18.07,20.8,17.92,91972278,1782433699,16:29:15,-785.49,13.445,1382918.4708,1377838.800707,13.37025,深交所
sz300666,300666,江丰电子,209.22,21.16,11.252,209.220,209.230,188.06,188.6,215.88,188.6,25881596,5361965694,16:29:00,110.698,10.71,5551039.329726,4656519.88923,11.62874,深交所
sh688260,688260,昀冢科技,92.1,9.28,11.205,92.090,92.100,82.82,83.0,94.3,82.83,8008560,708481504,15:34:59,-58.148,68.435,1105200.0,1105200.0,6.6738,上交所
sh688141,688141,杰华特,98.78,9.86,11.089,98.730,98.780,88.92,90.5,101.8,90.0,21669846,2096659495,15:00:00,-61.738,35.637,4448276.853702,4448276.853702,4.81208,上交所
sh600696,600696,退市岩石,0.61,0.06,10.909,0.610,0.000,0.55,0.58,0.61,0.57,3156847,1889172,15:00:02,-0.767,2.042,20402.635291,20402.635291,0.94384,上交所
sz301362,301362,民爆光电,168.9,16.4,10.754,168.900,168.980,152.5,152.0,170.6,149.11,4618241,746410298,16:29:30,94.358,9.664,2465005.57764,691555.57764,11.27922,深交所
sh688597,688597,煜邦电力,8.8,0.85,10.692,8.800,8.810,7.95,7.91,8.97,7.71,22077063,186401429,15:00:03,40.0,3.715,295733.04288,295733.04288,6.56938,上交所
sz301360,301360,荣旗科技,82.0,7.73,10.408,81.990,82.000,74.27,73.5,83.68,72.9,9847992,774539694,16:29:00,102.5,4.757,568604.4,275667.3376,29.29383,深交所
sz300907,300907,康平科技,44.49,4.19,10.397,44.490,44.500,40.3,40.14,45.92,39.82,8066694,347267912,16:29:30,89.284,5.297,427104.0,427104.0,8.40281,深交所
sz301099,301099,雅创电子,71.47,6.73,10.395,71.470,71.480,64.74,64.35,73.88,64.35,14338340,995410299,16:29:00,79.411,7.304,1048220.308219,641660.354419,15.97046,深交所
sh688519,688519,南亚新材,238.92,22.37,10.33,238.920,238.990,216.55,216.55,242.0,203.66,7824561,1716083535,15:34:59,223.29,19.447,5609148.779784,5609148.779784,3.33285,上交所
sz301489,301489,思泉新材,170.0,15.82,10.261,169.960,170.000,154.18,157.39,170.88,152.8,7852216,1270633944,16:29:30,226.667,17.563,1921942.021,1182873.005,11.28504,深交所
sz301680,301680,固德电材,128.16,11.91,10.245,128.160,128.200,116.25,116.25,129.78,115.02,4587545,567100353,16:29:00,44.5,5.576,1061164.8,215340.58368,27.30279,深交所
sz301338,301338,凯格精机,258.44,23.94,10.209,258.440,258.460,234.5,235.06,264.8,235.06,5898493,1508691820,16:29:15,147.68,16.193,2749801.6,1370378.1,11.12398,深交所
sz002314,002314,南山控股,2.62,0.24,10.084,2.620,0.000,2.38,2.37,2.62,2.37,101258641,256522683,15:00:00,-3.589,1.053,709439.018406,350640.898218,7.56608,深交所
sh600403,600403,大有能源,6.12,0.56,10.072,6.120,0.000,5.56,6.11,6.12,6.03,25036105,153175912,15:00:03,-7.257,4.377,1463177.190024,1463177.190024,1.04718,上交所
sz002575,002575,群兴玩具,6.23,0.57,10.071,6.230,0.000,5.66,5.67,6.23,5.44,83057936,499110481,15:00:00,-155.75,4.554,384079.5,364034.7865,14.21433,深交所
sh603330,603330,天洋新材,7.77,0.71,10.057,7.770,0.000,7.06,7.1,7.77,6.9,46527667,343023030,15:00:03,-13.169,2.58,336187.425273,336187.425273,10.75352,上交所
sh600936,600936,北投科技,5.92,0.54,10.037,5.920,0.000,5.38,5.38,5.92,5.2,153862736,870122992,15:00:03,-25.739,9.951,989247.533488,989247.533488,9.20768,上交所
sz000601,000601,韶能股份,8.99,0.82,10.037,8.990,0.000,8.17,8.02,8.99,7.74,164723122,1395594590,15:00:00,89.9,2.315,956844.648276,943607.053076,15.69362,深交所
sh688097,688097,博众精工,64.92,5.92,10.034,64.910,64.920,59.0,59.25,66.58,58.86,17645950,1120495836,15:34:59,48.886,6.041,2899637.29038,2888996.90238,3.9653,上交所
sh603687,603687,大胜达,17.89,1.63,10.025,17.890,0.000,16.26,16.06,17.89,16.02,80665200,1407825718,15:00:03,127.786,3.007,984007.004696,984007.004696,14.66555,上交所
sh601137,601137,XD博威合,21.52,1.96,10.02,21.520,0.000,19.56,19.61,21.52,19.56,28274482,588298019,15:00:03,143.467,2.107,1976703.408352,1975240.048352,3.08047,上交所
sh601686,601686,友发集团,5.93,0.54,10.019,5.930,0.000,5.39,5.69,5.93,5.66,40457484,237828729,15:00:02,12.622,1.307,872874.540516,872874.540516,2.74854,上交所
sz002579,002579,中京电子,20.76,1.89,10.016,20.760,0.000,18.87,19.16,20.76,18.88,154102849,3090989967,15:00:00,519.0,5.293,1271796.25512,1211163.091944,26.41407,深交所
sh600667,600667,太极实业,14.94,1.36,10.015,14.940,0.000,13.58,13.63,14.94,13.49,390863475,5578535691,15:00:01,71.143,3.574,3124764.013932,3124764.013932,18.68781,上交所
sz002903,002903,宇环数控,43.29,3.94,10.013,43.290,0.000,39.35,39.2,43.29,37.44,9293833,375002720,15:00:00,-333.0,8.711,678345.642,461755.594521,8.71305,深交所
sz002137,002137,实益达,9.45,0.86,10.012,9.450,0.000,8.59,8.55,9.45,8.49,47030947,431071157,15:00:00,126.676,3.55,545742.08703,374652.886545,11.86278,深交所
sh600114,600114,东睦股份,38.79,3.53,10.011,38.790,0.000,35.26,35.96,38.79,35.59,36248943,1357893315,15:00:00,45.105,6.872,2449136.507283,2390951.507283,5.88091,上交所
sz002806,002806,华锋股份,20.33,1.85,10.011,20.330,0.000,18.48,17.68,20.33,17.49,72999319,1380739445,15:00:00,-135.533,3.872,431970.191237,353955.637805,41.92831,深交所
sz000062,000062,深圳华强,33.52,3.05,10.01,33.520,0.000,30.47,30.39,33.52,29.23,100961819,3260093550,15:00:00,75.734,5.105,3505888.047344,3502505.058104,9.66234,深交所
sz000960,000960,锡业股份,43.19,3.93,10.01,43.190,0.000,39.26,40.7,43.19,40.54,115772453,4845255179,15:00:00,37.358,3.43,7106620.600688,7106620.600688,7.03599,深交所
sh600362,600362,江西铜业,47.48,4.32,10.009,47.480,0.000,43.16,44.0,47.48,44.0,84092573,3844118712,15:00:03,22.937,1.955,16441039.21494,9853274.67894,4.05217,上交所
sh600869,600869,远东股份,25.28,2.3,10.009,25.280,0.000,22.98,23.19,25.28,23.0,121375207,2977574147,15:00:03,946.816,13.042,5610523.741888,5610523.741888,5.46895,上交所
sh600487,600487,亨通光电,83.12,7.56,10.005,83.120,0.000,75.56,74.61,83.12,74.61,191393332,15481292596,15:00:01,75.564,6.326,20500652.440184,20324345.511,7.82737,上交所
sh603678,603678,火炬电子,58.61,5.33,10.004,58.610,0.000,53.28,52.15,58.61,51.5,48073922,2688520938,15:00:03,86.191,4.529,2787296.024291,2787296.024291,10.10877,上交所
sh603890,603890,春秋电子,30.02,2.73,10.004,30.020,0.000,27.29,30.02,30.02,30.02,3814252,114503845,15:00:03,46.906,4.064,1341318.819802,1341318.819802,0.85367,上交所
sz002896,002896,中大力德,81.7,7.43,10.004,81.700,0.000,74.27,80.11,81.7,79.16,16699807,1357183054,15:00:00,255.313,13.326,1605590.2139,1605590.2139,8.49765,深交所
sz002384,002384,东山精密,210.93,19.18,10.003,210.930,0.000,191.75,200.0,210.93,196.9,108148134,22069747135,15:00:00,267.0,17.066,38634097.672476,29241684.103239,7.80108,深交所
sz002897,002897,意华股份,88.2,8.02,10.002,88.200,0.000,80.18,82.4,88.2,82.28,7452837,644002635,15:00:00,53.78,6.016,1710027.73872,1608990.37866,4.08542,深交所
sz002975,002975,博杰股份,148.58,13.51,10.002,148.580,0.000,135.07,136.38,148.58,136.38,6095050,882897643,15:00:00,154.771,13.14,3092406.475488,2040806.311462,4.43747,深交所
sh601869,601869,长飞光纤,408.74,37.16,10.001,408.740,0.000,371.58,373.11,408.74,368.58,19754083,7838952148,15:00:02,382.0,23.777,33839793.384392,16608672.246436,4.86149,上交所
sh600121,600121,郑州煤电,5.17,0.47,10.0,5.170,0.000,4.7,5.07,5.17,4.95,204725662,1043484565,15:00:01,-6.792,8.56,629919.023646,629919.023646,16.80266,上交所
sh600301,600301,华锡有色,66.55,6.05,10.0,66.550,0.000,60.5,62.53,66.55,60.65,26174956,1671565262,15:00:03,52.567,8.449,4209736.572745,1832358.957055,9.50656,上交所
sh600500,600500,中化国际,6.27,0.57,10.0,6.270,0.000,5.7,5.68,6.27,5.48,172594569,1038654407,15:00:03,-10.113,2.214,2249868.051981,2249868.051981,4.80992,上交所
sh603267,603267,鸿远电子,78.98,7.18,10.0,78.980,0.000,71.8,70.69,78.98,68.31,28662623,2177893336,15:00:03,73.13,4.04,1825076.885016,1825076.885016,12.40372,上交所
sh603311,603311,金海高科,34.1,3.1,10.0,34.100,0.000,31.0,30.82,34.1,29.4,20936800,663937977,15:00:01,103.333,5.966,804364.12287,804364.12287,8.87589,上交所
sh605589,605589,圣泉集团,54.12,4.92,10.0,54.120,0.000,49.2,48.22,54.12,48.21,71011015,3688214967,15:00:00,45.479,4.199,4580654.551176,4578113.617176,8.39454,上交所
sz000700,000700,模塑科技,15.07,1.37,10.0,15.070,0.000,13.7,14.06,15.07,13.99,118140073,1744300084,15:00:00,28.65,3.49,1383449.191223,1383449.191223,12.86907,深交所
sz002851,002851,麦格米特,147.95,13.45,10.0,147.950,0.000,134.5,140.0,147.95,140.0,33611816,4910421196,15:00:00,552.671,9.593,8605180.22364,6777468.935545,7.33735,深交所
sz002951,002951,金时科技,21.34,1.94,10.0,21.340,0.000,19.4,19.21,21.34,18.01,36700719,727747335,15:00:00,-36.169,5.693,864270.0,855999.52295,9.14946,深交所
sz002962,002962,五方光电,20.9,1.9,10.0,20.900,0.000,19.0,18.51,20.9,18.36,29118496,595418036,15:00:00,160.769,3.435,609580.58568,437194.57045,13.92004,深交所
sh600105,600105,永鼎股份,49.62,4.51,9.998,49.620,0.000,45.11,45.11,49.62,45.11,189528456,9117969412,15:00:03,310.513,21.863,7254418.207524,7254418.207524,12.96369,上交所
sh600367,600367,红星发展,38.84,3.53,9.997,38.840,0.000,35.31,35.77,38.84,35.1,30604465,1137411913,15:00:00,143.852,5.323,1324952.423368,1250543.838888,9.50528,上交所
sh603045,603045,福达合金,75.26,6.84,9.997,75.260,0.000,68.42,68.42,75.26,68.0,15605163,1123234095,15:00:03,94.334,8.136,1019360.23653,1019360.23653,11.52139,上交所
sh605288,605288,凯迪股份,94.96,8.63,9.997,94.960,0.000,86.33,86.33,94.96,85.0,1457021,132606805,15:00:03,109.149,2.997,671110.921952,666608.868352,2.07556,上交所
sz001210,001210,金房能源,36.86,3.35,9.997,36.860,0.000,33.51,36.0,36.86,35.22,10492098,383448667,15:00:00,43.0,3.921,578011.523736,351275.512492,11.00956,深交所
sz002980,002980,华盛昌,112.12,10.19,9.997,112.120,0.000,101.93,101.0,112.12,99.81,9722978,1030577647,15:00:00,238.553,18.809,2123565.80592,1135630.337328,9.59943,深交所
sz002957,002957,科瑞技术,66.69,6.06,9.995,66.690,0.000,60.63,60.38,66.69,60.02,30933172,2003440837,15:00:00,101.957,8.461,2800863.065754,2792167.996878,7.38828,深交所
sh600345,600345,长江通信,51.73,4.7,9.994,51.730,0.000,47.03,47.97,51.73,47.08,15379093,763729899,15:00:03,78.379,4.477,1705083.558836,1094396.243381,7.2694,上交所
sh603373,603373,安邦护卫,48.65,4.42,9.993,48.650,0.000,44.23,44.36,48.65,44.0,2434537,115018393,15:00:03,41.229,2.796,523118.28093,221017.47542,5.35886,上交所
sh603997,603997,继峰股份,15.08,1.37,9.993,15.080,0.000,13.71,13.73,15.08,13.72,40951588,602250270,15:00:03,41.889,3.547,1918575.414912,1918575.414912,3.21879,上交所
sh600360,600360,华微电子,12.77,1.16,9.991,12.770,0.000,11.61,11.51,12.77,11.41,63626850,790966578,15:00:02,70.944,3.489,1226297.103208,1226297.103208,6.62576,上交所
sh600459,600459,贵研铂业,23.45,2.13,9.991,23.450,0.000,21.32,21.23,23.45,20.91,57344823,1292437002,15:00:03,27.917,2.463,1930587.189055,1781511.17501,7.54829,上交所
sz000586,000586,汇源通信,16.74,1.52,9.987,16.740,0.000,15.22,14.5,16.74,14.5,21670032,341689649,15:00:00,-1743.75,10.168,323818.56,320052.06,11.33429,深交所
sz002876,002876,三利谱,30.4,2.76,9.986,30.400,0.000,27.64,27.72,30.4,27.72,8459810,249479319,15:00:00,112.593,2.185,528610.19328,452782.51872,5.67995,深交所
sz000055,000055,方大集团,4.19,0.38,9.974,4.190,0.000,3.81,4.18,4.19,3.87,47649427,196290296,15:00:00,-8.729,0.805,449953.301113,283183.005751,7.05025,深交所
sz002421,002421,达实智能,4.97,0.45,9.956,4.970,0.000,4.52,4.7,4.97,4.55,574186727,2740164173,15:00:00,-16.136,3.881,1053929.074583,995678.461442,28.66094,深交所
sz002404,002404,嘉欣丝绸,7.4,0.67,9.955,7.400,0.000,6.73,7.05,7.4,7.04,28092460,205322562,15:00:00,23.125,2.0,414438.14034,337102.13894,6.1668,深交所
sz002515,002515,金字火腿,6.85,0.62,9.952,6.850,0.000,6.23,6.22,6.85,6.04,98181185,648800984,15:00:00,342.5,3.157,829270.70234,754766.51294,8.91059,深交所
sh600280,600280,中央商场,3.87,0.35,9.943,3.870,0.000,3.52,3.42,3.87,3.37,151679809,552412308,15:00:03,-11.057,16.426,436665.562956,436665.562956,13.4428,上交所
sh600162,600162,香江控股,3.21,0.29,9.932,3.210,0.000,2.92,2.91,3.21,2.91,178915170,560450741,15:00:01,-118.45,1.832,1049168.637162,1049168.637162,5.47403,上交所
sh600255,600255,鑫科材料,3.99,0.36,9.917,3.990,0.000,3.63,3.63,3.99,3.53,212675899,824417064,15:00:03,199.5,4.883,720652.635045,720652.635045,11.77512,上交所
sz300925,300925,法本信息,18.3,1.65,9.91,18.300,18.310,16.65,16.66,18.9,16.26,30574037,544041072,16:29:30,73.2,3.493,784537.36935,639627.94827,8.74735,深交所
sh603618,603618,杭电股份,42.24,3.8,9.886,42.240,42.250,38.44,36.5,42.28,36.5,115106901,4644330041,15:00:01,-98.233,10.795,2920370.601984,2920370.601984,16.64897,上交所
sz300502,300502,新易盛,747.0,67.18,9.882,747.000,747.020,679.82,696.0,752.0,693.1,38710677,28143777060,16:29:30,77.732,36.506,74393553.1104,66927286.467,4.32064,深交所
bj920078,920078,族兴新材,35.18,3.16,9.869,35.180,35.190,32.02,31.6,35.66,31.43,5864006,198103187,15:30:02,41.881,4.267,422160.0,72822.6,28.32853,北交所
sh601991,601991,大唐发电,9.18,0.81,9.677,9.180,9.190,8.37,8.1,9.19,7.93,1008982533,8742058773,15:00:01,29.097,4.613,16989160.242672,11379609.799308,8.13952,上交所
sh688685,688685,迈信林,50.09,4.39,9.606,50.040,50.090,45.7,44.81,50.54,44.22,6005955,284382360,15:00:03,417.417,9.183,735580.000003,735580.000003,4.08981,上交所
sz300654,300654,世纪天鸿,10.54,0.91,9.45,10.530,10.540,9.63,9.7,10.97,9.66,37439050,392792842,16:29:00,150.571,4.496,385895.594008,371678.595906,10.6169,深交所
sz301128,301128,强瑞技术,140.06,12.05,9.413,140.060,140.070,128.01,129.0,143.66,126.5,9858825,1331756736,16:29:30,102.278,21.606,2028317.798668,1784215.712304,7.73913,深交所
sz002436,002436,兴森科技,42.22,3.6,9.322,42.210,42.220,38.62,37.23,42.48,37.01,241029811,9735964965,15:00:00,527.75,13.445,7176021.782986,6408702.279682,15.87884,深交所
sh603256,603256,宏和科技,198.8,16.86,9.267,198.790,198.800,181.94,163.75,200.13,163.75,29271281,5412136115,15:00:00,864.348,64.885,17983178.5266,17488982.7,3.32731,上交所
sh688352,688352,颀中科技,23.62,2.0,9.251,23.600,23.620,21.62,21.88,24.58,21.65,70930793,1627889788,15:34:59,107.364,4.821,2808520.99501,864226.13328,19.38596,上交所
bj920526,920526,凯华材料,27.3,2.3,9.2,27.250,27.300,25.0,25.05,27.95,24.4,5393097,143996076,15:30:02,160.588,9.669,225771.0,142963.23678,10.29856,北交所
sz300757,300757,罗博特科,650.59,54.61,9.163,650.530,650.590,595.98,607.3,652.58,591.27,9253961,5764934657,16:29:00,-1586.805,67.077,10904416.093549,10576433.246023,5.69241,深交所
sh688622,688622,*ST禾信,128.73,10.73,9.093,128.620,128.730,118.0,117.0,129.98,114.5,2301992,283853554,15:00:03,-95.356,30.649,907102.651833,907102.651833,3.26683,上交所
sz003004,003004,声迅股份,71.65,5.97,9.09,71.640,71.650,65.68,68.0,72.25,62.5,9422490,638244478,15:00:00,-504.577,9.293,586549.749185,492537.60506,13.707,深交所
sh688600,688600,皖仪科技,28.23,2.32,8.954,28.220,28.230,25.91,25.99,28.38,25.32,4811717,129926974,15:00:03,64.159,4.734,380282.06727,380282.06727,3.57195,上交所
sz300410,300410,正业科技,12.8,1.05,8.936,12.790,12.800,11.75,11.42,12.97,11.1,98592966,1203483622,16:29:00,128.0,17.039,469906.94016,469906.94016,26.85617,深交所
sh688668,688668,鼎通科技,289.74,23.65,8.888,289.740,289.850,266.09,271.41,293.84,271.0,4892077,1377478161,15:34:59,167.48,19.615,4035226.538244,4035226.538244,3.51264,上交所
sh600522,600522,中天科技,42.89,3.5,8.886,42.890,42.900,39.39,39.03,43.33,39.03,405978244,17069390712,15:00:03,50.047,3.851,14638141.057428,14638141.057428,11.89523,上交所
sz300570,300570,太辰光,160.85,13.1,8.866,160.840,160.850,147.75,147.99,163.95,146.0,24384101,3822080059,16:29:45,121.856,20.652,3653335.655695,3091421.15583,12.68731,深交所
bj920045,920045,蘅东光,539.95,43.95,8.861,539.940,539.950,496.0,500.03,539.98,500.03,1223625,638579495,15:30:02,102.457,31.781,3675523.23426,1086786.252325,6.07936,北交所
sz000636,000636,风华高科,59.91,4.86,8.828,59.910,59.920,55.05,53.48,60.56,52.5,189966587,11121450011,15:00:00,239.64,5.553,6931666.147101,6931665.548001,16.41871,深交所
sz300959,300959,线上线下,225.0,18.13,8.764,224.990,225.000,206.87,202.16,234.87,200.01,7038284,1538098786,16:29:15,-1607.143,16.362,1808275.5,1177781.445,13.44574,深交所
sz301205,301205,联特科技,340.02,27.33,8.74,340.010,340.020,312.69,318.0,351.49,317.3,14151476,4772110513,16:29:15,427.967,27.097,4411555.488,2835926.94942,16.96724,深交所
sh688786,688786,悦安新材,40.0,3.21,8.725,39.970,40.000,36.79,35.93,40.43,35.93,7410167,283950172,15:00:03,68.966,7.234,575200.012,575200.012,5.15311,上交所
bj920066,920066,科拜尔,25.34,2.02,8.662,25.300,25.340,23.32,23.27,25.48,22.71,1759938,43316941,15:30:02,56.311,3.908,159270.328084,50359.008084,8.85578,北交所
sz301046,301046,能辉科技,28.78,2.29,8.645,28.780,28.790,26.49,26.52,29.09,26.52,8597569,242464178,16:29:00,719.5,4.148,486144.65134,374867.50084,6.60068,深交所
sh688448,688448,XR磁谷科,56.05,4.45,8.624,56.050,56.060,51.6,52.0,56.88,51.6,3230444,176257862,15:00:01,400.357,5.415,546593.6587,546593.6587,3.31263,上交所
sz301526,301526,国际复材,23.18,1.82,8.521,23.170,23.180,21.36,21.28,23.66,20.95,186597655,4189805004,16:29:30,320.609,10.24,8740895.315264,3255382.795514,13.28671,深交所
sh601138,601138,工业富联,80.01,6.26,8.488,80.010,80.020,73.75,75.0,81.11,73.85,377891246,29404852121,15:00:03,44.949,9.01,158772582.36428,158772582.36428,1.9043,上交所
bj920270,920270,天铭科技,16.4,1.28,8.466,16.390,16.400,15.12,15.74,17.59,15.7,4355934,71775256,15:30:02,48.235,4.134,171570.24,133302.58988,5.35903,北交所
sz300726,300726,宏达电子,65.23,5.07,8.428,65.230,65.240,60.16,60.2,66.3,59.08,26598977,1697935132,16:29:30,66.964,5.162,2686431.308935,1398781.833229,12.40402,深交所
