代码,股票代码,名称,最新价,涨跌额,涨跌幅,buy,sell,昨收,今开,最高,最低,成交量,成交额,ticktime,市盈率,市净率,总市值,流通市值,换手率,交易所
sz300496,300496,中科创达,63.67,-2.09,-3.178,63.670,63.680,65.76,67.5,68.26,63.55,24891103,1632830787,16:29:00,65.022,2.812,2927123.474648,2340403.44413,6.77155,深交所
sz002922,002922,伊戈尔,40.2,-1.32,-3.179,40.180,40.200,41.52,41.2,41.55,39.0,25309894,1015552710,15:00:00,80.4,4.482,1698783.35448,1515540.22914,6.7135,深交所
sh600807,600807,济高发展,2.74,-0.09,-3.18,2.740,2.750,2.83,2.85,2.86,2.73,23967000,66068768,15:00:03,-11.417,8.199,242389.916294,215643.059136,3.04529,上交所
sh605266,605266,健之佳,18.26,-0.6,-3.181,18.260,18.280,18.86,18.85,18.85,18.22,1697436,31312589,15:00:01,18.26,1.042,282195.386528,282195.386528,1.09836,上交所
sz000672,000672,上峰水泥,16.11,-0.53,-3.185,16.100,16.110,16.64,16.51,16.59,15.96,17302063,279939218,15:00:00,23.831,1.719,1561696.06995,1561696.06995,1.78483,深交所
sz301355,301355,南王科技,10.94,-0.36,-3.186,10.940,10.950,11.3,11.32,11.38,10.89,2863863,31578971,16:29:45,-78.143,1.446,213437.133232,109679.438232,2.85657,深交所
sz300915,300915,海融科技,23.09,-0.76,-3.187,23.070,23.090,23.85,23.9,24.14,22.91,1549910,36167800,16:29:15,-153.933,1.891,290562.869812,132853.367092,2.69375,深交所
sz002208,002208,合肥城建,16.7,-0.55,-3.188,16.700,16.710,17.25,17.26,17.48,16.43,57658199,965794478,15:00:00,-25.692,2.265,1341497.46298,1341130.68589,7.1797,深交所
sh603073,603073,彩蝶实业,17.91,-0.59,-3.189,17.890,17.920,18.5,18.5,18.6,17.68,1871400,33679007,15:00:03,29.85,1.497,207756.0,91149.090768,3.67714,上交所
sz001396,001396,誉帆科技,44.31,-1.46,-3.19,44.310,44.320,45.77,45.36,45.67,43.21,2389557,105171565,15:00:00,37.872,3.311,473684.605296,98399.855064,10.76031,深交所
sh603320,603320,迪贝电气,22.14,-0.73,-3.192,22.100,22.150,22.87,22.89,22.89,21.7,2796330,61580211,15:00:03,40.255,2.761,330209.693442,330209.693442,1.87489,上交所
